topic,name,weight,note,image_name
A Film about Coffee,Chris Owens,,"CO- OWNER, HANDSOME COFFEE ROASTERS",Chris Owens.png
A Film about Coffee,Daibo,,,Daibo.png
A Film about Coffee,Darrin Daniel,,"GREEN COFFEE BUYER, STUMPTOWN COAFEE Roasters",Darrin Daniel.png
A Film about Coffee,David Mancia,,PRODUCER MANCIA COFFEE FARM,David Mancia.png
A Film about Coffee,David Rumbanzangabo,,"DIRECTOR, HUYE MOUNTAIN COFFEE",
A Film about Coffee,Devin Chapman,,"BARISTA, COAVA COFFEE ROASTERS",Devin Chapman.png
A Film about Coffee,Eileen Hassi Rinaldi,,"OWNER, RITUAL COFFEE ROASTERS.",Eileen Hassi Rinaldi.png
A Film about Coffee,George Howell,,"FOUNDER, CPU OF EXCELLENCE & GEORGE HOWELL COFFEE",George Howell.png
A Film about Coffee,James Freeman,,OWNER BLUE BOTTLE COFFEE,James Freeman.png
A Film about Coffee,Katie Cargiulo,,"BARISTA, COUNTER CULTURE COFFEE 2012 US BARISTA CHAMPION",Katie Cargiulo.png
A Film about Coffee,Katsu Tanaka,,"OWNER, BEAR POND ESPRESSO",Katsu Tanaka.png
A Film about Coffee,Kent Bakke,,"CEO, LA MARZOCCO INTL.",Kent Bakke.png
A Film about Coffee,Kyle Glanville,,"CO- OWNER, G & B COFFEE, 2008 US BARISTA CHAMPION",Kyle Glanville.png
A Film about Coffee,Michael Phillips,,"CO - OWNER, HANDSOME COFFEE ROASTERS, 2010 WORLD BARISTA CHAMPION",Michael Phillips.png
A Film about Coffee,Peter Giuliano,,SPECIALTY COFFEE ASSOCIATION OF AMERICA,Peter Giuliano.png
A Film about Coffee,Sebastian Benitez,,"PRODUCER, FINCA LA PINONA",Sebastian Benitez.png
