topic,name,weight,note,image_name
First Love(TV series),久井,0.0179469,负责检查学生仪容。,久井.png
First Love(TV series),也英医生,0.0109856,也英出车祸后的医生。,也英医生.png
First Love(TV series),也英爸爸,0.0109856,有外遇，会给也英寄国外书和玩具。,也英爸爸.png
First Love(TV series),五田木,0.0179469,去公司偷东西，推倒男主受伤。,五田木.png
First Love(TV series),井木 晴道,0.0737111,男主。,井木 晴道.png
First Love(TV series),优雨,0.0332018,聋哑人，用手语。,优雨.png
First Love(TV series),几波子,0.0187673,女主妈妈。,几波子.png
First Love(TV series),凡二,0.0179469,,凡二.png
First Love(TV series),占部 旺太郎,0.0574348,,占部 旺太郎.png
First Love(TV series),向坂 缀,0.0989464,,向坂 缀.png
First Love(TV series),园部,0.0109856,尖酸爱面子婆婆。,园部.png
First Love(TV series),大河内,0.0109856,辅导老师。,大河内.png
First Love(TV series),富坚,0.031046,,富坚.png
First Love(TV series),小志,0.0179469,爱好无线电，借给井木一套拦截无线电波的设备。,小志.png
First Love(TV series),小渊,0.0109856,,小渊.png
First Love(TV series),小诗,0.102049,,小诗.png
First Love(TV series),小陈,0.0109856,公寓邻居，经常和男友吵架。,小陈.png
First Love(TV series),户川 行人,0.049722,医生。,户川 行人.png
First Love(TV series),有川 恒美,0.0179469,,有川 恒美.png
First Love(TV series),爱瑠,0.0392079,,爱瑠.png
First Love(TV series),牧山,0.0109856,,牧山.png
First Love(TV series),玉井,0.0109856,普通同学，上课会被老师提问。,玉井.png
First Love(TV series),町田,0.0109856,学长，邀请东央女主参加小姐比赛。,町田.png
First Love(TV series),私生女,0.0140983,也英爸爸的私生女。,私生女.png
First Love(TV series),美津香,0.0109856,,美津香.png
First Love(TV series),艾玛,0.031046,机场走失。,艾玛.png
First Love(TV series),茄子,0.0109856,,茄子.png
First Love(TV series),菜七子,0.0109856,女主学校同学，好友。,菜七子.png
First Love(TV series),追求者1,0.0109856,,追求者1.png
First Love(TV series),追求者2,0.0109856,,追求者2.png
First Love(TV series),野口 也英,0.165205,女主，萤星交通司机，愿望成为空乘人员。,野口 也英.png
