topic,group_name,character_name
First Love(TV series),保安公司,井木 晴道
First Love(TV series),保安公司,小志
First Love(TV series),出租车公司,占部 旺太郎
First Love(TV series),出租车公司,富坚
First Love(TV series),出租车公司,旺太郎
First Love(TV series),出租车公司,牧山
First Love(TV series),出租车公司,茄子
First Love(TV series),出租车公司,野口 也英
First Love(TV series),学校职工,久井
First Love(TV series),学校职工,小渊
First Love(TV series),学生,井木
First Love(TV series),学生,向坂 缀
First Love(TV series),学生,玉井
First Love(TV series),学生,町田
First Love(TV series),学生,菜七子
First Love(TV series),学生,野口 也英
