topic,source,target,relation,note
First Love(TV series),也英医生,几波子,告诉,告诉也英病情。
First Love(TV series),也英医生,野口 也英,医疗,
First Love(TV series),也英爸爸,几波子,前夫,
First Love(TV series),也英爸爸,私生女,父亲,
First Love(TV series),也英爸爸,野口 也英,父亲,
First Love(TV series),井木 晴道,久井,开车调戏,开摩托车进校调戏老师。
First Love(TV series),井木 晴道,五田木,抓捕,
First Love(TV series),井木 晴道,优雨,哥哥,
First Love(TV series),井木 晴道,凡二,好友,一起去借影碟。
First Love(TV series),井木 晴道,向坂 缀,帮忙,提供小诗跳舞时间撮合双方。
First Love(TV series),井木 晴道,小志,同事,
First Love(TV series),井木 晴道,小诗,帮忙,帮忙留场地给跳舞。
First Love(TV series),井木 晴道,有川 恒美,现男友,
First Love(TV series),井木 晴道,野口 也英,暗恋，表白,
First Love(TV series),优雨,爱瑠,妈妈,
First Love(TV series),几波子,野口 也英,母亲,
First Love(TV series),凡二,优雨,丈夫,
First Love(TV series),占部 旺太郎,野口 也英,追求,
First Love(TV series),向坂 缀,小诗,暗恋,
First Love(TV series),园部,户川 行人,母亲,
First Love(TV series),大河内,向坂 缀,家教,
First Love(TV series),富坚,占部 旺太郎,推荐方法,推荐镜像方法来追求高龄单身女。
First Love(TV series),小渊,井木 晴道,老师,
First Love(TV series),小渊,野口 也英,老师,
First Love(TV series),小陈,野口 也英,邻居,
First Love(TV series),户川 行人,向坂 缀,父亲,
First Love(TV series),旺太郎,野口 也英,追求,
First Love(TV series),爱瑠,井木 晴道,外甥女,
First Love(TV series),牧山,野口 也英,同事,
First Love(TV series),玉井,向坂 缀,同学,
First Love(TV series),町田,井木 晴道,惹怒,告诉井木出国的事，惹怒并打架。
First Love(TV series),町田,野口 也英,学长，邀请选美比赛,
First Love(TV series),美津香,户川 行人,妻子,
First Love(TV series),茄子,野口 也英,同事,
First Love(TV series),菜七子,野口 也英,好友，同学,
First Love(TV series),追求者1,野口 也英,追求被拒,
First Love(TV series),追求者2,野口 也英,追求者1,
First Love(TV series),野口 也英,井木,暗恋,
First Love(TV series),野口 也英,井木 晴道,初恋,
First Love(TV series),野口 也英,占部 旺太郎,徒弟,学习开车，不要逃避。
First Love(TV series),野口 也英,向坂 缀,妈妈，转账,每个月固定转账。
First Love(TV series),野口 也英,富坚,同事,
First Love(TV series),野口 也英,户川 行人,前妻,
First Love(TV series),野口 也英,艾玛,帮助,在机场走失，帮助找妈妈。
