topic,name,weight,note,image_name
Lacuna,凯瑟琳,,男主探员妻子。,凯瑟琳.png
Lacuna,劳拉,,男主探员女儿。,劳拉.png
Lacuna,史密斯,,保镖。,史密斯.png
Lacuna,哈里,,港口守门人。,哈里.png
Lacuna,塞拉,,陪玩工作者。,塞拉.png
Lacuna,奎恩,,港口船员。,奎恩.png
Lacuna,安东尼,,陪玩工作者的哥哥。,安东尼.png
Lacuna,小阿飞,,,小阿飞.png
Lacuna,尼尔,,男主探员。,尼尔.png
Lacuna,库玛,,探员，协助抓捕罪犯。,库玛.png
Lacuna,戴森,,戴森集团CEO。,戴森.png
Lacuna,格林德尔,,,格林德尔.png
Lacuna,汤普森,,陪玩公司工作者。,汤普森.png
Lacuna,洋子,,探员。,洋子.png
Lacuna,王警官,,警官。,王警官.png
Lacuna,盖里,,探员。,盖里.png
Lacuna,米拉,,避难所女孩。,米拉.png
Lacuna,罗伯,,,罗伯.png
Lacuna,艾伯特,,避难所男孩。,艾伯特.png
Lacuna,艾德,,船员,艾德.png
Lacuna,莫滕,,保镖。,莫滕.png
Lacuna,莱拉,,陪玩工作者。,莱拉.png
Lacuna,诺亚,,避难所男孩。,诺亚.png
Lacuna,诺顿夫人,,酒店住客。,诺顿夫人.png
Lacuna,里德,,抓捕罪犯的探员，如果主角提供信息错误会中枪受伤。,
Lacuna,金,,米利克斯CEO。,金.png
Lacuna,阿扬,,宗教信徒。,阿扬.png
Lacuna,霍拉斯,,主角养的蜥蜴。,霍拉斯.png
Lacuna,马克思,,警官。,马克思.png
