topic,name,weight,note,image_name
三体(ANIMATION),丁仪,,粒子碰撞试验科学家。,丁仪.png
三体(ANIMATION),东方毅,,科学家。,东方毅.png
三体(ANIMATION),伽尔宁,,PDC轮席副主席。,伽尔宁.png
三体(ANIMATION),侯远,,,侯远.png
三体(ANIMATION),卢皖贞,,T2特勤队。,卢皖贞.png
三体(ANIMATION),史强,,,史强.png
三体(ANIMATION),叶文洁,,,叶文洁.png
三体(ANIMATION),周明钧,,,周明钧.png
三体(ANIMATION),墨子,,ETO幸存者。,墨子.png
三体(ANIMATION),娜塔莉亚,,科学家。,娜塔莉亚.png
三体(ANIMATION),张翔,,,张翔.png
三体(ANIMATION),罗南,,PDC秘书。,罗南.png
三体(ANIMATION),罗辑,,,罗辑.png
三体(ANIMATION),罗辑女友,,被开车撞死。,罗辑女友.png
三体(ANIMATION),萨伊,,PDC轮席主席。,萨伊.png
三体(ANIMATION),麦克  伊文斯,,ETO首领，被政府方所杀。,麦克  伊文斯.png
