topic,group_name,character_name
三国演义,十常侍,
三国演义,十常侍,侯览
三国演义,十常侍,夏恽
三国演义,十常侍,曹节
三国演义,十常侍,段珪
三国演义,十常侍,程旷
三国演义,十常侍,郭胜
三国演义,吕布八健将,
三国演义,吕布八健将,侯成
三国演义,吕布八健将,曹性
三国演义,吕布八健将,臧霸
三国演义,吕布八健将,郝萌
三国演义,吕布八健将,魏续
三国演义,吴,
三国演义,吴,周瑜
三国演义,吴,太史慈
三国演义,吴,孙匡
三国演义,吴,孙坚
三国演义,吴,孙权
三国演义,吴,孙策
三国演义,吴,孙翊
三国演义,吴,孙韶
三国演义,吴,孟宗
三国演义,吴,张昭
三国演义,吴,张纮
三国演义,吴,程普
三国演义,吴,陆逊
三国演义,吴,韩当
三国演义,吴,黄盖
三国演义,女角色,
三国演义,女角色,何后
三国演义,女角色,吴国太
三国演义,女角色,吴太夫人
三国演义,女角色,唐妃
三国演义,女角色,太史慈母
三国演义,女角色,曹嵩妾
三国演义,女角色,王氏
三国演义,女角色,王美人
三国演义,女角色,舞阳君
三国演义,女角色,董卓母
三国演义,女角色,董太后
三国演义,女角色,貂蝉
三国演义,建安七子,
三国演义,建安七子,孔融
三国演义,晋,
三国演义,晋,司马师
三国演义,晋,司马懿
三国演义,江夏八俊,
三国演义,江夏八俊,孔昱
三国演义,江夏八俊,岑眰
三国演义,江夏八俊,檀敷
三国演义,江夏八俊,范康
三国演义,江夏八俊,范滂
三国演义,虚构人物,
三国演义,虚构人物,南华老仙
三国演义,虚构人物,卢逊
三国演义,虚构人物,火德星君
三国演义,虚构人物,紫虚上人
三国演义,蜀,
三国演义,蜀,关羽
三国演义,蜀,向宠
三国演义,蜀,姜维
三国演义,蜀,孟获
三国演义,蜀,庞统
三国演义,蜀,张绍
三国演义,蜀,张苞
三国演义,蜀,徐庶
三国演义,蜀,糜竺
三国演义,蜀,诸葛亮
三国演义,蜀,赵云
三国演义,蜀,马超
三国演义,蜀,黄忠
三国演义,蜀汉五虎将,
三国演义,蜀汉五虎将,关羽
三国演义,蜀汉五虎将,张飞
三国演义,蜀汉五虎将,赵云
三国演义,蜀汉五虎将,马超
三国演义,蜀汉五虎将,黄忠
三国演义,魏,
三国演义,魏,乐肇
三国演义,魏,乐进
三国演义,魏,乐𬘭
三国演义,魏,于禁
三国演义,魏,典韦
三国演义,魏,司马懿
三国演义,魏,夏侯惇
三国演义,魏,夏侯渊
三国演义,魏,曹丕
三国演义,魏,曹仁
三国演义,魏,曹叡
三国演义,魏,曹操
三国演义,魏,曹植
三国演义,魏,曹洪
三国演义,魏,程昱
三国演义,魏,荀彧
三国演义,魏,荀攸
三国演义,魏,许褚
三国演义,魏,贾诩
三国演义,魏,郭嘉
三国演义,魏,魏将张虎
三国演义,黄巾兵,
三国演义,黄巾兵,严政
三国演义,黄巾兵,孙仲
三国演义,黄巾兵,张宝
三国演义,黄巾兵,张梁
三国演义,黄巾兵,张角
三国演义,黄巾兵,张闿
三国演义,黄巾兵,程远志
三国演义,黄巾兵,管亥
三国演义,黄巾兵,赵弘
三国演义,黄巾兵,韩忠
三国演义,黄巾兵,马元义
三国演义,黄巾兵,高升
