topic,name,weight,note,image_name
世界奇妙物语(2022秋季特别篇),儿子(27年后),0.0351768,,儿子(27年后).png
世界奇妙物语(2022秋季特别篇),大神 正辉,0.045451,,大神 正辉.png
世界奇妙物语(2022秋季特别篇),女儿(27年后),0.0351768,,女儿(27年后).png
世界奇妙物语(2022秋季特别篇),小亮,0.0209494,,小亮.png
世界奇妙物语(2022秋季特别篇),少神,0.0171983,藏在阁楼的神灵，寻求某种东西。,少神.png
世界奇妙物语(2022秋季特别篇),左伯博史,0.0347055,,左伯博史.png
世界奇妙物语(2022秋季特别篇),广川,0.0276779,,广川.png
世界奇妙物语(2022秋季特别篇),广川(15年后),0.0377404,,广川(15年后).png
世界奇妙物语(2022秋季特别篇),广川(26年后),0.046052,,广川(26年后).png
世界奇妙物语(2022秋季特别篇),松久保 七海,0.0347055,,松久保 七海.png
世界奇妙物语(2022秋季特别篇),松久保 真希,0.045451,艺人。,松久保 真希.png
世界奇妙物语(2022秋季特别篇),根岸,0.0248722,,根岸.png
世界奇妙物语(2022秋季特别篇),母亲,0.0419103,独自抚养秋斗，但也离世了。,母亲.png
世界奇妙物语(2022秋季特别篇),泽田 里奈,0.0403305,,泽田 里奈.png
世界奇妙物语(2022秋季特别篇),泽田 里奈(10年后),0.0375466,,泽田 里奈(10年后).png
世界奇妙物语(2022秋季特别篇),泽田 里奈(25年后),0.0580508,,泽田 里奈(25年后).png
世界奇妙物语(2022秋季特别篇),润机器人,0.0364338,,润机器人.png
世界奇妙物语(2022秋季特别篇),滨中,0.0291224,,滨中.png
世界奇妙物语(2022秋季特别篇),滨中(26年后),0.0428391,,滨中(26年后).png
世界奇妙物语(2022秋季特别篇),父亲,0.0290729,很早离开家庭。,父亲.png
世界奇妙物语(2022秋季特别篇),真美,0.0299102,家庭主妇。,真美.png
世界奇妙物语(2022秋季特别篇),秋斗,0.0821844,工作狂，缺乏对孩子的照顾。,秋斗.png
世界奇妙物语(2022秋季特别篇),美加,0.0543312,,美加.png
世界奇妙物语(2022秋季特别篇),胜舅舅,0.0290729,协助主持母亲葬礼。,胜舅舅.png
世界奇妙物语(2022秋季特别篇),西岛 润,0.0364338,,西岛 润.png
世界奇妙物语(2022秋季特别篇),隼斗,0.0299102,缺乏父爱的孩子。,隼斗.png
