topic,branch,event,note,previous_event,final_event
世界奇妙物语(2022秋季特别篇),且慢,10年后女主阻挠,,约会,
世界奇妙物语(2022秋季特别篇),且慢,15年后男主支持,,10年后女主阻挠,
世界奇妙物语(2022秋季特别篇),且慢,25年后女主支持,,15年后男主支持,
世界奇妙物语(2022秋季特别篇),且慢,26年后男主阻挠,,25年后女主支持,
世界奇妙物语(2022秋季特别篇),且慢,27年后儿女支持,,26年后男主阻挠,
世界奇妙物语(2022秋季特别篇),管理人,与管理人冲突伤害七海,,解雇经纪人,
世界奇妙物语(2022秋季特别篇),少神,修补父子关系,,被少神捉弄,
世界奇妙物语(2022秋季特别篇),少神,发现少神,,母亲离世,
世界奇妙物语(2022秋季特别篇),少神,完成少神心愿,,修补父子关系,
世界奇妙物语(2022秋季特别篇),三角关系,小亮和美加相恋爱,,润和美加分手,
世界奇妙物语(2022秋季特别篇),三角关系,机器人和美加拍婚纱照,,机器人小亮美加生活,
世界奇妙物语(2022秋季特别篇),三角关系,机器人小亮美加生活,,润派出机器人,
世界奇妙物语(2022秋季特别篇),管理人,松久和左伯离婚,,,
世界奇妙物语(2022秋季特别篇),管理人,松久搬新家,,松久和左伯离婚,
世界奇妙物语(2022秋季特别篇),少神,母亲离世,,,
世界奇妙物语(2022秋季特别篇),三角关系,润住院,,小亮和美加相恋爱,
世界奇妙物语(2022秋季特别篇),三角关系,润和美加分手,,润和美加相恋,
世界奇妙物语(2022秋季特别篇),三角关系,润和美加相恋,,,
世界奇妙物语(2022秋季特别篇),三角关系,润派出机器人,,润住院,
世界奇妙物语(2022秋季特别篇),三角关系,润病逝,,机器人和美加拍婚纱照,
世界奇妙物语(2022秋季特别篇),管理人,管理人完成七海心愿,,经纪人杀害真希,
世界奇妙物语(2022秋季特别篇),管理人,管理员杀害前夫,,管理员解决生活问题,
世界奇妙物语(2022秋季特别篇),管理人,管理员解决工作问题,,管理员杀害前夫,
世界奇妙物语(2022秋季特别篇),管理人,管理员解决搬家问题,,松久和左伯离婚,
世界奇妙物语(2022秋季特别篇),管理人,管理员解决生活问题,,管理员解决搬家问题,
世界奇妙物语(2022秋季特别篇),且慢,约会,,,
世界奇妙物语(2022秋季特别篇),管理人,经纪人杀害真希,,与管理人冲突伤害七海,
世界奇妙物语(2022秋季特别篇),少神,给少神礼物,,发现少神,
世界奇妙物语(2022秋季特别篇),少神,被少神捉弄,,给少神礼物,
世界奇妙物语(2022秋季特别篇),管理人,解雇经纪人,,管理员解决工作问题,
世界奇妙物语(2022秋季特别篇),且慢,重新在一起改变命运,,27年后儿女支持,
