topic,source,target,relation,note
世界奇妙物语(2022秋季特别篇),儿子(27年后),女儿(27年后),哥哥,
世界奇妙物语(2022秋季特别篇),大神 正辉,左伯博史,杀害,因为真希不希望抚养纠纷所以杀害。
世界奇妙物语(2022秋季特别篇),大神 正辉,松久保 七海,管理人,完成心愿。
世界奇妙物语(2022秋季特别篇),大神 正辉,松久保 真希,管理人,完成心愿。
世界奇妙物语(2022秋季特别篇),大神 正辉,根岸,逼退,迫使真希辞退经理人。
世界奇妙物语(2022秋季特别篇),小亮,美加,现男友,
世界奇妙物语(2022秋季特别篇),少神,秋斗,化身,秋斗儿时的化身。
世界奇妙物语(2022秋季特别篇),左伯博史,松久保 七海,父亲,
世界奇妙物语(2022秋季特别篇),左伯博史,松久保 真希,前夫,
世界奇妙物语(2022秋季特别篇),广川,泽田 里奈,表白，未来丈夫,
世界奇妙物语(2022秋季特别篇),广川(15年后),广川,未来,
世界奇妙物语(2022秋季特别篇),广川(15年后),泽田 里奈(10年后),丈夫,
世界奇妙物语(2022秋季特别篇),广川(26年后),儿子(27年后),父亲,
世界奇妙物语(2022秋季特别篇),广川(26年后),女儿(27年后),父亲,
世界奇妙物语(2022秋季特别篇),广川(26年后),广川(15年后),未来,
世界奇妙物语(2022秋季特别篇),广川(26年后),泽田 里奈(25年后),丈夫,
世界奇妙物语(2022秋季特别篇),松久保 真希,松久保 七海,母亲,
世界奇妙物语(2022秋季特别篇),根岸,松久保 真希,经纪人，杀害,因为被辞退所以杀害。
世界奇妙物语(2022秋季特别篇),母亲,秋斗,母亲,
世界奇妙物语(2022秋季特别篇),母亲,胜舅舅,弟弟,
世界奇妙物语(2022秋季特别篇),泽田 里奈(10年后),泽田 里奈,未来,
世界奇妙物语(2022秋季特别篇),泽田 里奈(25年后),儿子(27年后),母亲,
世界奇妙物语(2022秋季特别篇),泽田 里奈(25年后),女儿(27年后),母亲,
世界奇妙物语(2022秋季特别篇),泽田 里奈(25年后),泽田 里奈(10年后),未来,
世界奇妙物语(2022秋季特别篇),泽田 里奈(25年后),滨中(26年后),出轨,
世界奇妙物语(2022秋季特别篇),润机器人,美加,照顾,用机器人来关心和照顾。
世界奇妙物语(2022秋季特别篇),滨中,泽田 里奈,同期同事,
世界奇妙物语(2022秋季特别篇),滨中(26年后),,,
世界奇妙物语(2022秋季特别篇),滨中(26年后),滨中,未来,
世界奇妙物语(2022秋季特别篇),父亲,母亲,前夫,
世界奇妙物语(2022秋季特别篇),父亲,秋斗,父亲,
世界奇妙物语(2022秋季特别篇),真美,隼斗,母亲,
世界奇妙物语(2022秋季特别篇),秋斗,真美,丈夫,
世界奇妙物语(2022秋季特别篇),秋斗,隼斗,父亲,
世界奇妙物语(2022秋季特别篇),胜舅舅,秋斗,舅舅,
世界奇妙物语(2022秋季特别篇),西岛 润,润机器人,化身,用脑电波控制。
世界奇妙物语(2022秋季特别篇),西岛 润,美加,前男友,
