topic,name,weight,note,image_name
利刃出鞘2,伯努瓦·布兰克,0.0599144,侦探迷。,伯努瓦·布兰克.png
利刃出鞘2,伯迪·杰,0.066568,模特，Twitter红人，容易说错话。,伯迪·杰.png
利刃出鞘2,佩格,0.0382919,伯迪助手。,佩格.png
利刃出鞘2,克莱儿·狄贝拉,0.0984312,计划精选州长。,克莱儿·狄贝拉.png
利刃出鞘2,克莱儿丈夫,0.0378894,,克莱儿丈夫.png
利刃出鞘2,卡桑德拉·布兰德,0.0599144,,卡桑德拉·布兰德.png
利刃出鞘2,图桑·莱昂内尔,0.0340204,科学家，博士。,图桑·莱昂内尔.png
利刃出鞘2,威士忌,0.0592951,,威士忌.png
利刃出鞘2,安迪诺,0.0340204,船长。,安迪诺.png
利刃出鞘2,杜克,0.0892043,游戏网红。,杜克.png
利刃出鞘2,杜克母亲,0.0352747,,杜克母亲.png
利刃出鞘2,海伦·布兰德,0.0609282,假扮姐姐上岛。,海伦·布兰德.png
利刃出鞘2,艾米,0.0378894,克莱儿助手。,艾米.png
利刃出鞘2,达罗,0.0340204,岛上闲人。,达罗.png
利刃出鞘2,迈尔斯·布隆,0.254338,,迈尔斯·布隆.png
