topic,source,target,relation,note
奇迹之屋,丝莎,凯瑟琳·范恩,母亲,
奇迹之屋,亚伯特·夜莺,弗洛朗,朋友,
奇迹之屋,亚伯特·夜莺,比利·奇迹(现实),朋友,
奇迹之屋,亚伯特·夜莺,玛奇,主人,
奇迹之屋,亚伯特·夜莺,约瑟,舅舅,
奇迹之屋,亚伯特·夜莺,马库斯,朋友,
奇迹之屋,亚历山大·奇迹,凯善,情侣,
奇迹之屋,亚历山大·奇迹,奥伯龙·奇迹,父亲,
奇迹之屋,凯善,奥伯龙·奇迹,母亲,
奇迹之屋,凯瑟琳·范恩,亚历山大·奇迹,母亲,
奇迹之屋,哈利,弗兰基,父亲,
奇迹之屋,哈利,芭芭拉,丈夫,
奇迹之屋,哈利,马库斯,父亲,
奇迹之屋,哈罗德·范恩,丝莎,丈夫,
奇迹之屋,哈罗德·范恩,凯瑟琳·范恩,父亲,
奇迹之屋,埃莉诺拉·奇迹,昂提斯·奇迹,母亲,
奇迹之屋,奥伯龙·奇迹,埃莉诺拉·奇迹,丈夫,
奇迹之屋,奥伯龙·奇迹,昂提斯·奇迹,父亲,
奇迹之屋,弗洛朗,约瑟,帮助,帮助约瑟回家和讲述奇迹之屋的故事。
奇迹之屋,彭尼,约瑟,帮助,介绍真实的皇家剧院故事。
奇迹之屋,比利·奇迹,马库斯·奇迹,养父,
奇迹之屋,比利·奇迹,黑眼圈,主人,
奇迹之屋,比利·奇迹(现实),比利·奇迹,原型,
奇迹之屋,眨眨,约瑟,朋友,
奇迹之屋,米恩,约瑟,老师,
奇迹之屋,约瑟,弗兰基,朋友,
奇迹之屋,芭芭拉,弗兰基,母亲,
奇迹之屋,芭芭拉,马库斯,母亲,
奇迹之屋,西尔维亚,亚伯特·夜莺,姐姐,
奇迹之屋,西尔维亚,梅布尔·哈奇,原型,
奇迹之屋,西尔维亚,约瑟,母亲,
奇迹之屋,马库斯,弗兰基,哥哥,
奇迹之屋,马库斯·奇迹,亚历山大·奇迹,父亲,
奇迹之屋,马库斯·奇迹,凯瑟琳·范恩,丈夫,
