topic,source,target,relation,note
她和她的她,关翔礼,杨佳缨,欺骗,拍视频并外流。
她和她的她,刘常宇,林晨曦,帮助,
她和她的她,吴俊凯,杨佳缨,偷窥，暗恋,
她和她的她,学弟,李皓明,学弟,
她和她的她,安安,林晨曦,求助,
她和她的她,方美茵,大朱,领导,
她和她的她,方美茵,林晨曦,挖角,
她和她的她,方美茵,罗晓南,领导,
她和她的她,李皓明,安安,拯救,
她和她的她,李皓明,林晨曦,男友,
她和她的她,杜骏儒,林晨曦,同事,
她和她的她,杜骏儒,艾伦,挖角,成功。
她和她的她,杜骏儒,颜圣华,丈夫,
她和她的她,杨佳缨,李皓明,制服,英雄救美救下女主。
她和她的她,林晨曦,可可,帮助,
她和她的她,林晨曦,安安,拯救,
她和她的她,林晨曦,杨佳缨,闺蜜，同学,
她和她的她,林晨曦,林震烨,姐姐,
她和她的她,林晨曦,艾伦,挖角,失败，能力不如骏儒。
她和她的她,林晨曦,陈智苓,闺蜜，同学,
她和她的她,林晨曦,颜圣华,同学,
她和她的她,江原,杨佳缨,拒绝,
她和她的她,江原,林晨曦,前男友,
她和她的她,西药店老板,林晨曦,差点撞到,
她和她的她,许慧珍,林晨曦,师母,
她和她的她,谢太太,林晨曦,师母,
她和她的她,谢太太,谢志忠,妻子,
她和她的她,谢志忠,林晨曦,老师,理化老师。
她和她的她,谢志忠,许慧珍,丈夫,
她和她的她,邱婉芬,林晨曦,母亲,
她和她的她,邱婉芬,林永晟,妻子,
她和她的她,邱婉芬,林震烨,母亲,
她和她的她,邱婉芬,许慧珍,同学,
她和她的她,陈智苓,柯迪洋,同事,
她和她的她,颜圣华,林晨曦,学姐，汽车追尾,一直打电话和跟踪女主，想要沟通。
