topic,name,weight,note,image_name
宝可梦朱,主人公,,身为玩家的你将扮演主人公，进入宝可梦的世界并展开冒险。,主人公.png
宝可梦朱,也慈,,也慈是运营道馆的宝可梦联盟的会长，在冠军级中也是最具实力且位居巅峰的强者。她言行柔和，又威风凛凛，是每一位宝可梦训练家都憧憬的人物。她似乎正在寻找出类拔萃，年轻有为，能称霸宝可梦联盟的人才。,也慈.png
宝可梦朱,克拉韦尔,,担任学校的校长一职。他会告诉刚刚入学的主人公各种关于学校的事。时而严厉，时而也会亲切待人。和宝可梦博士似乎是朋友。,克拉韦尔.png
宝可梦朱,八朔,,是帕底亚四天王的一员，精通龙属性。身为学院的老师，他负责教美术。,八朔.png
宝可梦朱,凰劈,,负责教对战学，凰檗是一位非常开朗的老师。不擅长做料理，为了改善而向萨瓦罗请教，并经常找米莫莎试味。和莉普是从小就认识的朋友。,凰劈.png
宝可梦朱,古鲁夏,,以前是个职业单板滑雪运动员，现在专任于霜抹山道馆的馆主。与浩大鲸搭档，是位冰属性宝可梦的行家。平时沉着冷静，但在对战白热化时，他压抑的感情就会释放出来，展现出表情丰富的一面。,
宝可梦朱,吉尼亚,,主人公的班主任，同时也担任生物课老师。他非常了解宝可梦的生态，并且还在开发手机洛托姆的宝可梦图鉴App。他会埋头研究到忘我的地步，似乎也有我行我素且天然呆的一面。,吉尼亚.png
宝可梦朱,奇树,,奇树在帕底亚地区屈指可数的都市酿光市担任道馆馆主，是使用电属性宝可梦的高手。她“电电★直播主”的名号广为人知。此外，她作为“奇树奇述直播”的视频直播主也拥有超高人气。奇树以道馆馆主的身份活动时也会进行视频直播，她似乎非常注重频道的观众是否满意，以及能否获得更多的播放量。“用电网捕获你的眼球！”“早中晚上好哈啰”这样吸引人的打招呼方式很符合直播主的风格，给人留下深刻的印象。,
宝可梦朱,奥琳,,宝可梦博士，似乎在研究流传于在这片地区的某个传说。,奥琳.png
宝可梦朱,妈妈,,主人公妈妈，和历代宝可梦主人公妈妈一样，独自在家。,妈妈.png
宝可梦朱,妮莫,,主人公的朋友妮莫。她性格活泼又有朝气，非常热爱宝可梦对战。会以宝可梦训练家前辈的身份引导主人公，很值得信赖。她的对战本领备受肯定，是个实力出众的宝可梦训练家。但实际上，她似乎也有不擅长扔精灵球这样的一面。,妮莫.png
宝可梦朱,寇沙,,寇沙是花与艺术的城镇——深钵镇的道馆馆主。他是草属性的行家，同时也以崇尚自然艺术家的身份展开活动。他把宝可梦对战视为作品，从中挖掘出艺术性，在道馆测验时会测试训练家的审美力。寇沙的代表作是将惹人喜爱的向日花怪表现得很忧郁的《随他去之向日花怪》。究竟是什么让向日花怪抱有这样的心情，是专家之间热议的话题。,寇沙.png
宝可梦朱,梅洛可,,“梅洛可”是天星队火帮班王良四小队的老大。她是天星队首屈一指的万事通，遇到任何问题都能强行解决。虽然她会给别人深深留下强硬粗鲁的印象，但一不做二不休的直率姿态却深受伙伴信赖。,梅洛可.png
宝可梦朱,泰姆,,负责教数学，泰姆是一位非常温和的老师。过往是道馆馆主，其后约于故事开始前一年辞去职务，专注在教学上。,泰姆.png
宝可梦朱,派帕,,与主人公就读于同一所学校的前辈派帕，他擅长料理，正在研究能让宝可梦恢复活力的健康料理。由于他不擅长宝可梦对战，因此前来拜托主人公协助他完成某事。,派帕.png
宝可梦朱,海岱,,是玻瓶市玻瓶道馆的道馆馆主。精通水属性宝可梦。,海岱.png
宝可梦朱,牡丹,,与主人公同一个年级的牡丹有些怕生，似乎出于某个原因而不怎么来学校。她喜爱毛茸茸的伊布包包，总是背在身上。,
宝可梦朱,皮拿,,曾经担任学生会长，但因制定的规则过于保守而遭到同学们的排斥，最终被迫离任，之后也一直遭到孤立。在天星队担任老大时被大家指派负责制定天星队的队规。,皮拿.png
宝可梦朱,聂凯,,当主角在天星队基地内进行自主对战时，聂凯会帮主角的宝可梦恢复活力。击败各基地老大后，聂凯便会与老大或其他队员深入交谈。通过交流，校长逐渐明白了天星队反对校园霸凌的初衷，并猜出了天星队「真老大」的真实身份。,聂凯.png
宝可梦朱,辛俐,,是帕底亚四天王的一员，精通地面属性。,辛俐.png
宝可梦朱,阿枫,,阿枫是派舒蕾・慕滋的店长，在担任道馆馆主的同时也是一位甜点师。她个性文静，说话语气缓慢，虽然整体给人的感觉十分天然，但在对战的时候则会显现出好战的一面。,阿枫.png
宝可梦朱,青木,,青木是宝可梦联盟的职员，看起来似乎总是非常困倦，在休息之余会前往锦汇镇的著名餐厅“宝食堂”就餐，他非常喜欢这里的烤饭团。在道馆挑战中败给主角后，青木会请主角吃烤饭团。,青木.png
