topic,name,weight,note,image_name
明日战记,光仔,0.0678126,通信兵，期待加入空战兵，有女友。,光仔.png
明日战记,刑天,0.0764233,,刑天.png
明日战记,小绿,0.0403595,通信员，光仔女友。,小绿.png
明日战记,思思,0.0335079,在毒素环境出生。,思思.png
明日战记,李升,0.125844,少将，统领16区空战部队，一心建天幕。,李升.png
明日战记,杨霖,0.0335079,空战机枪手。,杨霖.png
明日战记,泰来,0.23262,,泰来.png
明日战记,游大朗,0.0759588,少尉，前空战军，现在卖电影，需要男主道歉。,游大朗.png
明日战记,盼盼,0.0335079,和母亲去医院拿药。,盼盼.png
明日战记,穷奇,0.0756992,,穷奇.png
明日战记,谭冰,0.0669118,总部过来的上校。,谭冰.png
明日战记,郑重生,0.0978714,B16区指挥官。,郑重生.png
明日战记,陈苍松,0.0399757,研发基因子弹的研究员院长。,陈苍松.png
