topic,name,weight,note,image_name
最终幻想7重置版,M夫人,0.0188977,,M夫人.png
最终幻想7重置版,亚尼安·古良,0.0188977,,亚尼安·古良.png
最终幻想7重置版,克劳德,0.298246,,克劳德.png
最终幻想7重置版,凯莉,0.0196647,,凯莉.png
最终幻想7重置版,史卡蕾特,0.0188977,,史卡蕾特.png
最终幻想7重置版,宝条,0.0212718,,宝条.png
最终幻想7重置版,山姆,0.0188977,,山姆.png
最终幻想7重置版,巴雷特,0.10012,,巴雷特.png
最终幻想7重置版,帕尔默,0.0188977,,帕尔默.png
最终幻想7重置版,曾,0.0460521,神罗公司总务部调查课“特克斯”的主任。,曾.png
最终幻想7重置版,杰西,0.0197394,,杰西.png
最终幻想7重置版,毕格斯,0.0197394,,毕格斯.png
最终幻想7重置版,海温德,0.0188977,,海温德.png
最终幻想7重置版,爱丽丝,0.0188977,,爱丽丝.png
最终幻想7重置版,玛琳,0.0197394,,玛琳.png
最终幻想7重置版,科尔,0.0188977,,科尔.png
最终幻想7重置版,维奇,0.0197394,,维奇.png
最终幻想7重置版,罗兹,0.0188977,,罗兹.png
最终幻想7重置版,莱斯利,0.0188977,,莱斯利.png
最终幻想7重置版,萨菲罗斯,0.0369781,,萨菲罗斯.png
最终幻想7重置版,蒂法,0.0497964,,蒂法.png
最终幻想7重置版,赤红XIII,0.0188977,,赤红XIII.png
最终幻想7重置版,路德,0.0319458,,路德.png
最终幻想7重置版,路法斯,0.0212718,,路法斯.png
最终幻想7重置版,里维,0.0188977,,里维.png
最终幻想7重置版,雷诺,0.0319458,,雷诺.png
最终幻想7重置版,露乌法斯,0.0369781,,露乌法斯.png
