topic,source,target,relation,note
最终幻想7重置版,M夫人,克劳德,帮助,
最终幻想7重置版,亚尼安·古良,克劳德,帮助,
最终幻想7重置版,克劳德,蒂法,青梅足马,
最终幻想7重置版,史卡蕾特,克劳德,对手,
最终幻想7重置版,宝条,萨菲罗斯,父亲,
最终幻想7重置版,山姆,克劳德,帮助,
最终幻想7重置版,巴雷特,克劳德,聘请,
最终幻想7重置版,巴雷特,杰西,领导,
最终幻想7重置版,巴雷特,毕格斯,领导,
最终幻想7重置版,巴雷特,玛琳,父亲,
最终幻想7重置版,巴雷特,维奇,领导,
最终幻想7重置版,巴雷特,蒂法,领导,
最终幻想7重置版,帕尔默,克劳德,对手,
最终幻想7重置版,曾,克劳德,对手,
最终幻想7重置版,曾,路德,领导,
最终幻想7重置版,曾,雷诺,领导,
最终幻想7重置版,海温德,克劳德,对手,
最终幻想7重置版,爱丽丝,克劳德,喜欢,
最终幻想7重置版,科尔,克劳德,对手,
最终幻想7重置版,罗兹,克劳德,对手,
最终幻想7重置版,莱斯利,克劳德,帮助,
最终幻想7重置版,萨菲罗斯,克劳德,宿敌,
最终幻想7重置版,蒂法,凯莉,怨恨,
最终幻想7重置版,赤红XIII,克劳德,战友,
最终幻想7重置版,路德,克劳德,对手,
最终幻想7重置版,路法斯,露乌法斯,父亲,
最终幻想7重置版,里维,克劳德,对手,
最终幻想7重置版,雷诺,克劳德,对手,
最终幻想7重置版,露乌法斯,克劳德,对手,
