topic,name,weight,note,image_name
未来罪行,克林尼克,0.036585,有名气的艺术表演者。,克林尼克.png
未来罪行,凯浦瑞丝,0.0705833,艺术表演者，负责操作机器处理索尔·腾泽。,凯浦瑞丝.png
未来罪行,塔尔,0.035008,在改造吃塑料组织工作。,塔尔.png
未来罪行,奥迪勒,0.0399974,艺术表演者，喜欢被改造的感觉。,奥迪勒.png
未来罪行,布雷肯,0.0608835,出生就能吃塑料，被母亲杀害。,布雷肯.png
未来罪行,惠比特,0.0399974,新器官组织的发起者。,惠比特.png
未来罪行,朗·多特里斯,0.117684,在改造吃塑料的组织工作，希望公开对儿子的解剖。,朗·多特里斯.png
未来罪行,朱娜·多特里斯,0.0608835,杀害了儿子，住进收留所。,布雷肯.png
未来罪行,科普,0.0615931,警探。,科普.png
未来罪行,索尔·腾泽,0.187656,参与艺术表演，内部新器官不断长出，与警探合作。,索尔·腾泽.png
未来罪行,艾德丽安·伯索,0.036585,推荐索尔·腾泽去看医生萨提尔。,艾德丽安·伯索.png
未来罪行,萨提尔,0.10338,医生，负责给人手术参加注册表演。,萨提尔.png
未来罪行,蒂姆琳,0.0705833,新器官组织的助手，喜欢同事惠比特，也被索尔·腾泽吸引住。,蒂姆琳.png
未来罪行,贝尔斯特,0.0392904,设备公司工作人员。,贝尔斯特.png
未来罪行,路特,0.0392904,设备公司工作人员。,路特.png
