topic,name,weight,note,image_name
梅西传奇,久利,0.00443036,,
梅西传奇,乔尔吉尼奥·维纳尔杜姆,0.00443036,,
梅西传奇,亚亚·图雷,0.00443036,,
梅西传奇,亚历杭德罗·萨维利亚,0.00443036,在前一年的美洲杯上失利后，阿根廷新帅上台。,
梅西传奇,亨利,0.00443036,,
梅西传奇,伊万·拉基蒂奇,0.00443036,,
梅西传奇,伊德里萨·盖耶,0.00443036,,
梅西传奇,伊瓜因,0.00443036,,
梅西传奇,佐迪·鲁拉,0.00443036,2011年11月22日，助理教练代理了主教练一职。,
梅西传奇,何塞·佩克尔曼,0.00443036,当时阿根廷主教练。,
梅西传奇,何塞普·马里亚·明格利亚,0.00443036,巴塞罗那的中间人接待梅西。,
梅西传奇,佩德罗,0.00443036,,
梅西传奇,佩德里,0.00443036,,
梅西传奇,佩普·瓜迪奥拉,0.00443036,,
梅西传奇,保利尼奥,0.00443036,,
梅西传奇,保罗·迪巴拉,0.00443036,,
梅西传奇,克莱门特·朗格莱,0.00443036,,
梅西传奇,兹拉坦·伊布拉希莫维奇,0.00443036,,
梅西传奇,内马尔,0.00443036,,
梅西传奇,凯洛尔·纳瓦斯,0.00443036,,
梅西传奇,利利安·图拉姆,0.00443036,,
梅西传奇,加布里埃尔·梅尔卡多,0.00443036,,
梅西传奇,加布里埃尔·海因策,0.00443036,,
梅西传奇,努诺·门德斯,0.00443036,,
梅西传奇,劳塔罗·马丁内斯,0.00443036,,
梅西传奇,博扬,0.00443036,,
梅西传奇,卡佩罗,0.00443036,想让尤文图斯租借梅西。,
梅西传奇,卡尔斯·图斯克茨,0.00443036,2020年10月27日，巴萨主席巴托梅乌下台。其间卡尔斯·图斯克茨接管过一阵球队。,
梅西传奇,卡洛斯·特维斯,0.00443036,,
梅西传奇,卡洛斯·雷克萨奇,0.00443036,当时接待梅西的巴塞罗那的体育总监。,
梅西传奇,卢卡斯·斯卡利亚,0.00770477,跟梅西一起踢球的哥们。,
