topic,name,weight,note,image_name
水浒传,一丈青 扈三娘,,原先所在的扈家庄和祝家庄一样同为独龙岗上的两霸，宋江攻打祝家庄时，扈三娘首战便捉了“矮脚虎”王英。,一丈青 扈三娘.png
水浒传,一枝花 蔡庆,,北京大名府人(今河北省邯郸市大名县)。《水浒传》中的蔡庆是蔡福的弟弟，大名府专管牢狱的小押狱，是个有名的刽子手。他生来爱带一枝花，人称“一枝花蔡庆”。,一枝花 蔡庆.png
水浒传,丑郡马 宣赞,,绰号丑郡马，原是郡王府郡马，相貌丑陋，使得郡主怀恨身亡，因而不得重用，屈为步司衙门防御使保义。,丑郡马 宣赞.png
水浒传,两头蛇 解珍,,是登州人氏，出身猎户家庭，武艺高强，绰号两头蛇。他自幼父母双亡，未曾婚娶，与弟弟解宝以打猎为生。,两头蛇 解珍.png
水浒传,丧门神 鲍旭,,绰号丧门神，寇州人氏，原是枯树山寨主，后与李逵结交，率部投靠梁山。梁山大聚义时，排第六十位，上应地暴星，担任步军将校，是李逵的副手。,丧门神 鲍旭.png
水浒传,中箭虎 丁得孙,,面颊及全身都有疤痕，人称中箭虎，原来是东昌府将领没羽箭张清手下的副将。,中箭虎 丁得孙.png
水浒传,九尾龟 陶宗旺,,祖籍光州人氏，庄家田户出身，两臂有千斤之力，习惯使一把铁锹，也能使枪抡刀，人唤“九宋江在”。宋江江州被救后，返回梁山时，在黄门山遇见欧鹏、陶宗旺等四人。陶宗旺等人从此归顺了梁山，负责建造梁山泊城垣等一些建筑物。,九尾龟 陶宗旺.png
水浒传,九纹龙 史进,,原来是一位少庄主，后来当了少华山的强盗头子，风华少年，武功不错。,九纹龙 史进.png
水浒传,云里金刚 宋万,,是梁山泊的元老，因为高大威猛，所以人称“云里金刚”。早先和王伦、杜迁占梁山为王，武艺平常。王伦被林冲杀后，宋万仍留在梁山，被封为步军将校第十名，是梁山第八十二条好汉。,云里金刚 宋万.png
水浒传,井木犴 郝思文,,是梁山第四十一条好汉，梁山马军小彪将兼远探出哨头领第四名。江湖人称“井木犴”。,井木犴 郝思文.png
水浒传,催命判官 李立,,江州人氏，在揭阳岭经营一家酒店，常用蒙汗药麻倒客人，继而谋财害命，人称催命判官。,催命判官 李立.png
水浒传,入云龙 公孙胜,,蓟州人上有一母，是个道士，道号一清，罗真人是他师傅。江湖人称入云龙。,入云龙 公孙胜.png
水浒传,八臂哪吒 项充,,是徐州沛县人氏，善使一面团牌，背插二十四把飞刀，能百步取人，无有不中，人称八臂哪吒。他与樊瑞、李衮结为兄弟，一同占据芒砀山，聚集三千兵马，打家劫舍。,八臂哪吒 项充.png
水浒传,出林龙 邹渊,,邹渊是邹润的叔叔，自小喜欢赌钱，闲汉出身，性气高强，不肯容人，有一身好武艺，江湖上人唤“出林龙”。,出林龙 邹渊.png
水浒传,出洞蛟 童威,,童威是童猛的哥哥，早先兄弟两一起在浔阳江上贩卖私盐，与李俊等有交情。随李俊等人归顺梁山后，成为水军头领。,出洞蛟 童威.png
水浒传,双尾蝎 解宝,,解宝是登州人氏，出身猎户家庭，武艺高强，绰号双尾蝎。他自幼父母双亡，未曾婚娶，与兄长解珍以打猎为生。,双尾蝎 解宝.png
水浒传,双枪将 董平,,梁山泊第十五条好汉，马军五虎将第五名。原是东平府兵马都监，使一双长枪，勇猛无敌。,双枪将 董平.png
水浒传,双鞭 呼延灼,,宋朝开国名将铁鞭王呼延赞嫡派子孙，祖籍并州太原(今属山西太原)，上梁山之前为汝宁郡都统制，武艺高强，杀法骁勇，有万夫不当之勇。,双鞭 呼延灼.png
水浒传,呼保义 宋江,,字公明，山东济州府郓城县人。他排行第三，身体黑矮，有孝名，为人仗义疏财，人称孝义黑三郎。,呼保义 宋江.png
水浒传,圣手书生 萧让,,因为擅长书法，会模仿很多人的书法，所以当时的人都叫他圣手书生。他还会使枪弄棒，舞剑抡刀，算是略通武艺。,圣手书生 萧让.png
水浒传,圣水将 单廷珪,,排名第四十四位的梁山好汉，上山前为凌州团练使，上山后是马军小彪将兼远探出哨十六头领第七位，绰号“圣水将军”。,圣水将 单廷珪.png
水浒传,大刀 关胜,,关胜乃三国时名将关羽嫡传子孙，长相与祖上关云长颇为相似，也使一把青龙偃月刀，精通兵法，绰号“大刀”。,大刀 关胜.png
水浒传,天暗星 青面兽,,七尺五六身材，因“面皮上老大一搭青记(青色痣)，腮边微露些少赤须”，面目难看，被人称做“青面兽”,天暗星 青面兽.png
水浒传,天目将 彭玘,,是东京人氏，累代将门出身，使一口三尖两刃刀，人称天目将，官拜颍州团练使。,天目将 彭玘.png
水浒传,小尉迟 孙新,,祖籍琼州人氏，军官的后代。随哥哥孙立在登州驻蚕，兄弟就此为家。孙新生得高大强壮，学得他哥哥的本事，会几招好鞭枪，人称“小尉迟”。,小尉迟 孙新.png
水浒传,小旋风 柴进,,沧州横海郡人，精通武艺，人称柴大官人，江湖上又唤做“小旋风”。,小旋风 柴进.png
水浒传,小李广 花荣,,梁山泊英雄中排行第九，马军八骠骑兼先锋使之首。原是清风寨副知寨，使一杆长枪，一张弓射遍天下无敌手，如西汉“飞将”李广，人称“小李广”。,小李广 花荣.png
水浒传,小温侯 吕方,,梁山一百单八将之一，绰号“小温侯”。原本在对影山一带落草为寇，后来因为花荣神箭，和郭盛一起投奔梁山。,小温侯 吕方.png
水浒传,小遮拦 穆春,,是江州揭阳镇人氏，出身富户，因其兄穆弘绰号没遮拦，故此人称小遮拦。江州揭阳一带有三霸，揭阳岭上以李俊、李立为一霸，浔阳江中以张横、张顺为一霸，而揭阳镇上则以穆春兄弟为一霸。穆春兄弟在镇上横行霸道，连官府都头都受其支配。,小遮拦 穆春.png
