topic,group_name,character_name
水浒传,女将,
水浒传,梁山好汉,
水浒传,朝廷官员,
水浒传,六大恶人,
水浒传,梁山好汉,一丈青 扈三娘
水浒传,梁山好汉,一枝花 蔡庆
水浒传,梁山好汉,丑郡马 宣赞
水浒传,梁山好汉,两头蛇 解珍
水浒传,梁山好汉,丧门神 鲍旭
水浒传,梁山好汉,中箭虎 丁得孙
水浒传,梁山好汉,九尾龟 陶宗旺
水浒传,梁山好汉,九纹龙 史进
水浒传,梁山好汉,云里金刚 宋万
水浒传,梁山好汉,井木犴 郝思文
水浒传,梁山好汉,催命判官 李立
水浒传,梁山好汉,入云龙 公孙胜
水浒传,梁山好汉,八臂哪吒 项充
水浒传,梁山好汉,出林龙 邹渊
水浒传,梁山好汉,出洞蛟 童威
水浒传,梁山好汉,双尾蝎 解宝
水浒传,梁山好汉,双枪将 董平
水浒传,梁山好汉,双鞭 呼延灼
水浒传,梁山好汉,呼保义 宋江
水浒传,梁山好汉,圣手书生 萧让
水浒传,梁山好汉,圣水将 单廷珪
水浒传,梁山好汉,大刀 关胜
水浒传,梁山好汉,天暗星 青面兽
水浒传,梁山好汉,天目将 彭玘
水浒传,梁山好汉,小尉迟 孙新
水浒传,梁山好汉,小旋风 柴进
水浒传,梁山好汉,小李广 花荣
水浒传,梁山好汉,小温侯 吕方
水浒传,梁山好汉,小遮拦 穆春
水浒传,梁山好汉,小霸王 周通
水浒传,梁山好汉,急先锋 索超
水浒传,梁山好汉,扑天雕 李应
水浒传,梁山好汉,打虎将 李忠
水浒传,梁山好汉,拚命三郎 石秀
水浒传,梁山好汉,插翅虎 雷横
水浒传,梁山好汉,摩云金翅 欧鹏
水浒传,梁山好汉,摸著天 杜迁
水浒传,梁山好汉,操刀鬼 曹正
水浒传,梁山好汉,旱地忽律 朱贵
水浒传,梁山好汉,智多星 吴用
水浒传,梁山好汉,母夜叉 孙二娘
水浒传,梁山好汉,母大虫 顾大嫂
水浒传,梁山好汉,毛头星 孔明
水浒传,梁山好汉,没羽箭 张清
水浒传,梁山好汉,没遮拦 穆弘
水浒传,梁山好汉,没面目 焦挺
水浒传,梁山好汉,活闪婆 王定六
水浒传,梁山好汉,活阎罗 阮小七
水浒传,梁山好汉,浪子 燕青
水浒传,梁山好汉,浪里白条 张顺
水浒传,梁山好汉,混世魔王 樊瑞
水浒传,梁山好汉,混江龙 李俊
水浒传,梁山好汉,火眼狻猊 邓飞
水浒传,梁山好汉,独火星 孔亮
水浒传,梁山好汉,独角龙 邹润
水浒传,梁山好汉,玉幡竿 孟康
水浒传,梁山好汉,玉臂匠 金大坚
水浒传,梁山好汉,玉麒麟 卢俊义
水浒传,梁山好汉,病关索 杨雄
水浒传,梁山好汉,病大虫 薛永
水浒传,梁山好汉,病尉迟 孙立
水浒传,梁山好汉,白日鼠 白胜
水浒传,梁山好汉,白花蛇 杨春
水浒传,梁山好汉,白面郎君 郑天寿
水浒传,梁山好汉,百胜将 韩滔
水浒传,梁山好汉,短命二郎 阮小五
水浒传,梁山好汉,矮脚虎 王英
水浒传,梁山好汉,石将军 石勇
水浒传,梁山好汉,神医 安道全
水浒传,梁山好汉,神机军师 朱武
水浒传,梁山好汉,神火将 魏定国
水浒传,梁山好汉,神算子 蒋敬
水浒传,梁山好汉,神行太保 戴宗
水浒传,梁山好汉,立地太岁 阮小二
水浒传,梁山好汉,笑面虎 朱富
水浒传,梁山好汉,紫髯伯 皇甫端
水浒传,梁山好汉,美髯公 朱仝
水浒传,梁山好汉,翻江蜃 童猛
水浒传,梁山好汉,船火儿 张横
水浒传,梁山好汉,花和尚 鲁智深
水浒传,梁山好汉,花项虎 龚旺
水浒传,梁山好汉,菜园子 张青
水浒传,梁山好汉,行者 武松
水浒传,梁山好汉,豹子头 林冲
水浒传,梁山好汉,赛仁贵 郭盛
水浒传,梁山好汉,赤发鬼 刘唐
水浒传,梁山好汉,跳涧虎 陈达
水浒传,梁山好汉,轰天雷 凌振
水浒传,梁山好汉,通臂猿 侯健
水浒传,梁山好汉,金枪手 徐宁
水浒传,梁山好汉,金毛犬 段景住
水浒传,梁山好汉,金眼彪 施恩
水浒传,梁山好汉,金钱豹子 汤隆
水浒传,梁山好汉,铁叫子 乐和
水浒传,梁山好汉,铁扇子 宋清
水浒传,梁山好汉,铁笛仙 马麟
水浒传,梁山好汉,铁臂膊 蔡福
水浒传,梁山好汉,铁面孔目 裴宣
水浒传,梁山好汉,锦毛虎 燕顺
水浒传,梁山好汉,锦豹子 杨林
水浒传,梁山好汉,镇三山 黄信
水浒传,梁山好汉,险道神 郁保四
水浒传,梁山好汉,霹雳火 秦明
水浒传,梁山好汉,青眼虎 李云
水浒传,梁山好汉,飞天大圣 李衮
水浒传,梁山好汉,鬼睑儿 杜兴
水浒传,梁山好汉,黒旋风 李逵
水浒传,梁山好汉,鼓上蚤 时迁
水浒传,女将,一丈青 扈三娘
水浒传,女将,母大虫 顾大嫂
水浒传,女将,母夜叉 孙二娘
水浒传,六大恶人,蔡京
水浒传,六大恶人,潘金莲
水浒传,六大恶人,西门庆
水浒传,六大恶人,高俅
水浒传,六大恶人,高衙内
水浒传,六大恶人,童贯
水浒传,朝廷官员,高俅
水浒传,朝廷官员,童贯
水浒传,朝廷官员,蔡京
