topic,name,weight,note,image_name
沙漠之王,伸展正义记者,,,伸展正义记者.png
沙漠之王,店铺老板,,小女孩母亲的男朋友。,店铺老板.png
沙漠之王,李正旭,,面试MoonPalace公司，最后被淘汰。,李正旭.png
沙漠之王,杨瑞恩,,小女孩。,杨瑞恩.png
沙漠之王,杰克,,公司员工。,杰克.png
沙漠之王,民夏,,小女孩。,民夏.png
沙漠之王,海日,,加入了传销组织，走投无路要去偷车卖。,海日.png
沙漠之王,海日妈妈,,相当迷信。,海日妈妈.png
沙漠之王,海日爸爸,,终日沉迷喝酒，也是游乐场售票员。,海日爸爸.png
沙漠之王,游乐场老板,,,游乐场老板.png
沙漠之王,社长,,,社长.png
沙漠之王,罗伊书,,刚入职场的人，在公司英文名是Alice。,罗伊书.png
沙漠之王,美珍,,对女儿不太照顾，离婚后有暧昧的男朋友。,美珍.png
沙漠之王,美珍男朋友,,不承认是男朋友。,美珍男朋友.png
沙漠之王,艾米,,公司员工。,艾米.png
沙漠之王,贾斯丁,,公司经理。原名朴甲秀。,贾斯丁.png
沙漠之王,赵天雄,,假扮警察。,赵天雄.png
沙漠之王,跆拳道馆长,,杨瑞恩的老师，喜欢其母亲。,跆拳道馆长.png
沙漠之王,郑贤淑,,正义的队长。,郑贤淑.png
沙漠之王,郑雅兰,,电视台记者。,
沙漠之王,里查德,,公司员工。,里查德.png
沙漠之王,金民秀,,面试MoonPalace公司，最后被淘汰。,金民秀.png
