topic,name,weight,note,image_name
献给阿尔吉侬的花束,乔·卡普,0.0116789,在面包店工作，给我带面包。,
献给阿尔吉侬的花束,伯尼贝特,0.0116789,帮我操作揉面包机。,
献给阿尔吉侬的花束,伯特·塞尔登,0.0116789,必克曼大学，测试员，威尔伯基金会赞助改造活动。,
献给阿尔吉侬的花束,伯莎·尼姆,0.0133616,尼姆太太，利用父亲来争取赞助，因此要着急发票。,
献给阿尔吉侬的花束,勒罗伊,0.0124299,舞厅，被带回家。,
献给阿尔吉侬的花束,厄利,0.0116789,小男孩，在面包店送货，,
献给阿尔吉侬的花束,古斯,0.0197424,哈利·雅特哥哥，一起打查理。,
献给阿尔吉侬的花束,哈利·雅特,0.0284595,和我同岁，所有小朋友暗恋的对象，不嘲笑我，我送她项链盒和写贺卡，但被捉弄。,
献给阿尔吉侬的花束,哈罗德·尼姆,0.0230367,教授，支持我告知我危险。,
献给阿尔吉侬的花束,唐纳,0.0203108,开面包店，和我叔叔是好朋友，从沃伦之家解救出来，,
献给阿尔吉侬的花束,基里安,0.0116789,在低能成人学校的老师。,
献给阿尔吉侬的花束,奥利弗,0.0116789,管揉面包机，后来辞职了。,
献给阿尔吉侬的花束,奥斯卡,0.0197424,哈利·雅特哥哥，一起打查理。,
献给阿尔吉侬的花束,巴芬,0.0121895,太太，诺尔玛历史老师，夸赞诺尔玛。,
献给阿尔吉侬的花束,希尔达,0.0116789,护士，术后照顾我，信上帝不支持手术，话太多被送产房。,
献给阿尔吉侬的花束,弗兰克·赖利,0.0116789,好朋友，在面包店工作。,
献给阿尔吉侬的花束,惠勒,0.0133616,太太，面包店顾客，金皮会故意少收钱拿小费。,
献给阿尔吉侬的花束,拿皮,0.0121895,小狗，拿破仑简称，诺尔玛养的。,
献给阿尔吉侬的花束,斯特劳斯,0.0116789,精神科医生。,
献给阿尔吉侬的花束,查理·高登,0.314745,唐纳面包店工作，必克明学院，准备32岁，IQ只有68，已经打工17年。开始质疑权威，要求解释而不是一味听从，开始发梦和主动查字典，打败阿尔吉侬了，开始读鲁滨逊。之前看不懂报纸，开始操作揉面包机，会用标点符号，知道别人作弄我。,
献给阿尔吉侬的花束,海米,0.0116789,邻居，会读写，参加童子军。,
献给阿尔吉侬的花束,海米·罗斯,0.0116789,童年伙伴，帮我写字。,
献给阿尔吉侬的花束,瓜里诺,0.0197913,医生，父亲带去变聪明，用短波治疗，为了骗钱。,
献给阿尔吉侬的花束,瓦格纳,0.0116789,学校管理员。,
献给阿尔吉侬的花束,穆妮,0.0116789,现在的房东。,
献给阿尔吉侬的花束,米妮,0.0212273,费伊带给阿尔吉侬的伴侣。,
献给阿尔吉侬的花束,维诺,0.0116789,先生，住在我公寓楼下，抗议我声音太大，吵架和报警。,
献给阿尔吉侬的花束,罗丝,0.0383768,把我送走，叔叔死去后送我去沃伦之家。,
献给阿尔吉侬的花束,艾伦,0.0116789,和主角一起跳舞。,
献给阿尔吉侬的花束,范妮比尔,0.0116789,不肯参与嘲笑我。,
献给阿尔吉侬的花束,诺尔玛,0.0405564,妹妹，好久不见，和妈妈住布鲁克林。,
献给阿尔吉侬的花束,贝妮丝,0.0116789,查理同学，遇到查理变聪明后回校问为什么不上学。,
献给阿尔吉侬的花束,费伊·利尔曼,0.031267,现在的邻居，画家，喜欢跳舞，五年前理论，约35岁，有新男友是舞蹈老师。,
献给阿尔吉侬的花束,赫尔曼,0.0203108,死前推荐我去唐纳面包店，一起住很久，15年前死了，很肥，丢掉工作后住我家，油漆工。,
献给阿尔吉侬的花束,迈尔斯,0.0117265,迈尔斯夫妇，母亲的房东，住二楼，对查理好会给糖果。,
献给阿尔吉侬的花束,迈耶·克劳斯,0.0116789,面包店新员工。,
献给阿尔吉侬的花束,金皮,0.0230367,面包师，一只脚瘸了，面包店头领，,
献给阿尔吉侬的花束,阿尔吉侬,0.020701,参与改造的实验老鼠，智商一开始比主角高。,
献给阿尔吉侬的花束,雷伊·温斯洛,0.0116789,低能学校负责人。,
献给阿尔吉侬的花束,露西尔,0.0116789,护士，接替希尔达护士。,
献给阿尔吉侬的花束,马特,0.0381764,查理父亲，一直维护查理，最后如愿开理发店。,
