topic,group_name,character_name
献给阿尔吉侬的花束,主角家族,
献给阿尔吉侬的花束,主角家族,查理·高登
献给阿尔吉侬的花束,主角家族,罗丝
献给阿尔吉侬的花束,主角家族,诺尔玛
献给阿尔吉侬的花束,主角家族,赫尔曼
献给阿尔吉侬的花束,动物,
献给阿尔吉侬的花束,动物,拿皮
献给阿尔吉侬的花束,动物,米妮
献给阿尔吉侬的花束,动物,阿尔吉侬
献给阿尔吉侬的花束,实验室,
献给阿尔吉侬的花束,实验室,伯特·塞尔登
献给阿尔吉侬的花束,实验室,哈罗德·尼姆
献给阿尔吉侬的花束,实验室,希尔达
献给阿尔吉侬的花束,实验室,斯特劳斯
献给阿尔吉侬的花束,实验室,阿尔吉侬
献给阿尔吉侬的花束,实验室,露西尔
献给阿尔吉侬的花束,成人学校,
献给阿尔吉侬的花束,成人学校,基里安
献给阿尔吉侬的花束,成人学校,查理·高登
献给阿尔吉侬的花束,面包店,
献给阿尔吉侬的花束,面包店,乔·卡普
献给阿尔吉侬的花束,面包店,伯尼贝特
献给阿尔吉侬的花束,面包店,厄利
献给阿尔吉侬的花束,面包店,唐纳
献给阿尔吉侬的花束,面包店,奥利弗
献给阿尔吉侬的花束,面包店,弗兰克·赖利
献给阿尔吉侬的花束,面包店,查理·高登
献给阿尔吉侬的花束,面包店,迈耶·克劳斯
献给阿尔吉侬的花束,面包店,金皮
