topic,source,target,relation,note
献给阿尔吉侬的花束,,马特,,
献给阿尔吉侬的花束,乔·卡普,查理·高登,同事,
献给阿尔吉侬的花束,伯尼贝特,查理·高登,同事，帮助,帮助我操作面包机。
献给阿尔吉侬的花束,伯特·塞尔登,查理·高登,做实验,
献给阿尔吉侬的花束,厄利,查理·高登,同事,
献给阿尔吉侬的花束,古斯,哈利·雅特,哥哥,
献给阿尔吉侬的花束,古斯,查理·高登,殴打,
献给阿尔吉侬的花束,哈罗德·尼姆,伯莎·尼姆,丈夫,
献给阿尔吉侬的花束,哈罗德·尼姆,查理·高登,做实验,
献给阿尔吉侬的花束,唐纳,查理·高登,聘请,
献给阿尔吉侬的花束,唐纳,赫尔曼,朋友,
献给阿尔吉侬的花束,基里安,查理·高登,老师,
献给阿尔吉侬的花束,奥利弗,查理·高登,前同事,
献给阿尔吉侬的花束,奥斯卡,哈利·雅特,哥哥,
献给阿尔吉侬的花束,奥斯卡,查理·高登,殴打,
献给阿尔吉侬的花束,巴芬,诺尔玛,历史老师,
献给阿尔吉侬的花束,希尔达,查理·高登,照顾,
献给阿尔吉侬的花束,弗兰克·赖利,查理·高登,同事,
献给阿尔吉侬的花束,斯特劳斯,查理·高登,做实验,
献给阿尔吉侬的花束,查理·高登,哈利·雅特,暗恋,
献给阿尔吉侬的花束,查理·高登,诺尔玛,哥哥,
献给阿尔吉侬的花束,查理·高登,贝妮丝,同学,
献给阿尔吉侬的花束,查理·高登,阿尔吉侬,带走,同是试验对象。
献给阿尔吉侬的花束,海米,查理·高登,邻居,
献给阿尔吉侬的花束,海米·罗斯,查理·高登,欺负,帮我写贺卡，却乱写导致我被打。
献给阿尔吉侬的花束,瓜里诺,查理·高登,治疗,
献给阿尔吉侬的花束,瓜里诺,马特,欺骗,
献给阿尔吉侬的花束,瓦格纳,查理·高登,管理员,
献给阿尔吉侬的花束,穆妮,查理·高登,房东,
献给阿尔吉侬的花束,米妮,阿尔吉侬,伴侣,最后被咬。
献给阿尔吉侬的花束,维诺,查理·高登,邻居,
献给阿尔吉侬的花束,罗丝,查理·高登,妈妈,
献给阿尔吉侬的花束,罗丝,诺尔玛,妈妈,
献给阿尔吉侬的花束,艾伦,查理·高登,跳舞,不像其他人一样嫌弃。
献给阿尔吉侬的花束,范妮比尔,查理·高登,朋友,不肯嘲笑我。
献给阿尔吉侬的花束,诺尔玛,拿皮,主人,
献给阿尔吉侬的花束,费伊·利尔曼,勒罗伊,带回家,
献给阿尔吉侬的花束,费伊·利尔曼,查理·高登,邻居，炮友,
献给阿尔吉侬的花束,费伊·利尔曼,米妮,主人,
献给阿尔吉侬的花束,赫尔曼,查理·高登,叔叔,
献给阿尔吉侬的花束,迈尔斯,罗丝,房东,
献给阿尔吉侬的花束,迈耶·克劳斯,查理·高登,同事，欺负,
献给阿尔吉侬的花束,金皮,惠勒,合伙,故意少收钱，然后收小费。
献给阿尔吉侬的花束,金皮,查理·高登,同事,
献给阿尔吉侬的花束,雷伊·温斯洛,查理·高登,负责人,
献给阿尔吉侬的花束,露西尔,查理·高登,照顾,
献给阿尔吉侬的花束,马特,查理·高登,父亲,
献给阿尔吉侬的花束,马特,罗丝,丈夫,
