topic,name,weight,note,image_name
甄嬛传,丽嫔,0.0250917,"依附华妃，与甄嬛敌对，对容貌颇为自负。
色厉内荏，害怕鬼神之说，在甄嬛、眉庄和陵容联手设计下，被小允子扮鬼吓疯，遭太后下旨移入冷宫（第11集）。
沈眉庄带甄嬛来到冷宫时，曾见她对镜试图以面粉妆饰自己（第33集）。",丽嫔.png
甄嬛传,乌拉那拉·宜修,0.0325716,"雍正之皇后，深爱皇帝。擅写书法，精通医术及药理。
纯元皇后的异母庶妹、太后外甥女、乾隆帝娴妃的姑母，因膝下无子，故设计齐妃自尽，如愿成为三阿哥弘时养母。
于王府时期生下大阿哥弘晖，但大阿哥未满三岁即因风疾夭折，导致心理逐渐扭曲，不喜宫中妃嫔有孕。
表面端淑贤惠、母仪天下，内心阴险毒辣，城府极深。极看重正宫地位，私下控制并仇视任何怀有龙种的嫔妃，一心想成为独一无二的皇太后。
多番设计挑拨甄嬛、眉庄、陵容、淳儿之间的关系，最终致使安陵容反目并投靠自己。
后在甄嬛佈局下，被嫁祸令一个实际上本就保不住的孩子流产，又因甄嬛的女儿胧月公主作伪证，百口莫辩下被雍正禁足（第71集）。
剪秋下毒事件后因江福海被刑求招供，致使当年毒害纯元皇后之事为雍正得知，但雍正碍于太后遗诏不得废后，只得下旨终身禁足景仁宫且“死生不复相见”（第72集）。
新帝继位当日，已成为皇太后的甄嬛前去探视，并告知将谨遵先帝世宗及孝恭太后遗诏，宜修至死皆为“皇后”、不得晋封，死后也只能葬入妃陵，且史书中不记载关于她的只字片语。当晚心悸暴毙，死不瞑目（第76集）。",乌拉那拉·宜修.png
甄嬛传,乌拉那拉·青樱,0.00488618,"宝亲王侧福晋→娴妃。
皇后表侄女，为人高傲任性。皇后曾有意将其许给三阿哥做福晋，但因对胧月公主态度傲慢不得欢心，终不了了之。
拒绝皇后退一步安排成为三阿哥侍妾，又不慎出言讽刺皇后曾为侧福晋一事，皇后因此向雍正帝请求赐给四阿哥为侧福晋（第69集）。
弘历登基后被封为娴妃（第76集）。",乌雅·成璧.png
甄嬛传,乌雅·成璧,0.0325716,"宜修与纯元皇后之姑母，行事老辣，遇事不惊，城府极深。
雍正诸妃中最看重及疼爱眉庄，唯独下旨晋封其位分（第49集）。
深知宜修阴险毒辣，但为保乌雅氏及乌拉那拉氏家族荣耀，屡屡容忍其恶行；后因弘历被毒害未遂一事训斥宜修反被其言语顶撞，深感宫中再无人能与皇后抗衡，遂转而支持雍正将甄嬛迎回宫中（第54集）。
和隆科多关系暧昧。两人原是恋人，隆科多设计使她进宫帮助自己的姐姐孝懿仁皇后争宠。后在雍正授意下不得不亲手毒死隆科多（第49集）。
病危时迷惘自己为家族强保宜修后位是否错误，但仍立下遗诏不得废宜修皇后之位（第66集）。弥留之际想见十四子允禵最后一面却不成，与雍正争执中逝世（第67集）。",
甄嬛传,乔颂芝,0.0250917,"原为华妃陪嫁侍女，对华妃言听计从。
后被华妃献予雍正替年氏一族说情（第38集），华妃被降位后，当回宫女继续贴身服侍（第40集）。",乔颂芝.png
甄嬛传,五阿哥,0.00488618,"五阿哥。
仅台词上出现，未正式登场，剧中提到因体弱多病，所以由生母陪伴养在宫外。",
甄嬛传,余莺儿,0.00488618,"本为倚梅园莳花宫女，因冒替倚梅园中的甄嬛而得盛宠一时，依附华妃，擅长唱昆曲，目中无人，恃宠而骄，由官女子晋位答应（第5集）。因私自将欣常在关押进慎刑司得罪太后而被褫夺妙音娘子封号并闭门思过半月（第6集），随后又因对甄嬛不敬被雍正撞见再次被降为官女子（第7集）。
受华妃指使，命花穗在甄嬛的汤药下毒。事发后被雍正废黜赐死，却不愿就死，此时安陵容为向甄嬛与眉庄展现情谊，来到冷宫提点苏培盛指示小厦子以弓弦绞杀，最终被绞断一半脖子惨死，拉去乱葬岗掩埋（第10集）。",
甄嬛传,允祥,0.00488618,"康熙第十三子，雍正帝要好之兄弟。
仅台词上出现，未正式登场。",
甄嬛传,允祺,0.00488618,康熙第五子，宜太妃之子，对甄嬛颇有成见。,
甄嬛传,允禟,0.00488618,"康熙第九子，宜太妃之子，恒亲王允祺之亲弟。
仅台词上出现，未正式登场。
雍正帝之政敌。
敦亲王允䄉被抄家前夕曾打算与其拱允禩登上帝位，并封其生母宜太妃为皇太后，后造反失败被削爵囚禁（第39集）。",
