topic,source,target,relation,note
红楼梦,丰儿,王熙凤,丫鬟,
红楼梦,乌进孝,贾珍,诉苦,
红楼梦,冯渊,英莲,购买,买来做妾。
红楼梦,冷子兴,周瑞,女婿,
红楼梦,冷子兴,贾化,好友,在都中认识，讲话投机。
红楼梦,刘姥姥,刘氏(狗儿妻),母亲,
红楼梦,刘姥姥,狗儿,岳母,
红楼梦,刘姥姥,贾巧姐,起名,因七月初七出生，起名为巧儿。
红楼梦,刘氏(狗儿妻),板儿,母亲,
红楼梦,刘氏(狗儿妻),青儿,母亲,
红楼梦,单聘仁,贾宝玉,碰到,
红楼梦,史湘云,史老夫人,侄孙女,
红楼梦,史老夫人,贾惜春,抚养,因史老夫人极爱孙女，都跟在祖母这边一处读书，听得个个不错。
红楼梦,周瑞,周瑞家的,丈夫,
红楼梦,周瑞,王成,交好,
红楼梦,周瑞家的,刘姥姥,接待,
红楼梦,周瑞家的,平儿,巴结,刘姥姥过来，然后先找凤姐的丫头平儿。
红楼梦,奶母,英莲,奶妈,
红楼梦,娇杏,甄费,丫鬟,
红楼梦,媚人,贾宝玉,丫鬟,
红楼梦,宁国公,荣国公,哥哥,一母同胞弟兄。
红楼梦,宁国公,贾代化,父亲,
红楼梦,封氏,甄费,妻子,
红楼梦,封肃,封氏,父亲,
红楼梦,度恨菩提,警幻仙姑,姐妹,
红楼梦,引愁金女,警幻仙姑,姐妹,
红楼梦,晴雯,贾宝玉,丫鬟,
红楼梦,智能儿,贾惜春,玩耍,
红楼梦,曹雪芹,空空道人,修改,
红楼梦,李嬷嬷,李贵,母亲,
红楼梦,李嬷嬷,贾宝玉,奶妈,小时候给喂奶。
红楼梦,李守中,李氏,父亲,
红楼梦,李守中,李纨,父亲,
红楼梦,李氏,贾兰,母亲,
红楼梦,李纨,贾兰,母亲,
红楼梦,板儿,青儿,姐姐,
红楼梦,林海,林黛玉,父亲,
红楼梦,林海,贾化,接待,
红楼梦,林海,贾敏,丈夫,
红楼梦,焦大,宁国公,跟随,
红楼梦,焦大,赖二,醉骂,
红楼梦,狗儿,刘氏(狗儿妻),丈夫,
红楼梦,狗儿,周瑞,帮助,帮助争买田地的事情。
