topic,name,weight,note,image_name
绝代双骄,万春流,0.0027638,有“神医”之称，自称“恶医”，医术精湛高超，人称“阎王要人三更死，神医留人到五更”。但却因一次失误，一夜间医死开封城九十八人，大受打击以至心灰意冷，躲到恶人谷中反省精研医道。因为恶人谷中并无其他善研医术之人，因此在谷中有着超然的地位。燕南天重伤后以“试验新医术”的名义将其救下，暗中寻找让神剑痊愈的方法，并利用各种机会教育小鱼儿正确的认知。是在恶人谷中小鱼儿最相信的人，算是人格陶养过程中的明师与灯塔。小鱼儿与花无缺决斗前帮助小鱼儿制出假死药，某种意义上是拯救了两兄弟生命和幸福的人。,
绝代双骄,冯天雨,0.0027638,外号“关外神龙剑”。,
绝代双骄,司晨客,0.00329757,生肖鸡，号司晨，红衣鸡冠一人、黄衣鸡胸一人，花衣鸡尾三四人。结局被怜星宫主移花接玉功夫所杀。,
绝代双骄,哈哈儿,0.00583375,外号“笑里藏刀”，一个弥陀模样，和气生财的胖和尚哈哈儿。本来是少林和尚，因被师妹叫一声肥猪而杀掉同门及师父，后逃入恶人谷开黑店客栈。向来以笑作武器，从小教小鱼儿陪着他笑。最擅长和人谈笑自若，解除对方警戒时，却暗暗掏刀子杀人。他从来不说真话，在白开心差不多杀尽十大恶人时骗倒白开心，用暗器杀死他，却被姘头屠娇娇咬死，临死前奋起全身力量压死屠娇娇。,
绝代双骄,啸云居士,0.0027638,外号“一叱开山”，气功独步海内，与黄鸡大师数十年相交，乃是生死过命的交情。,
绝代双骄,孙天南,0.0027638,天南剑派掌门，剑掌出手双绝。,
绝代双骄,小鱼儿,0.157614,花月奴与江枫之子，本名江小鱼，人称小鱼儿，是漏网之鱼的意思，书中有时又叫江鱼。由恶人谷十大恶人中的数位恶人所收养，常自诩为“天下第一聪明人”。自小因被血手杜杀训练冷酷残忍的恶人，面上身上横七竖八地满是疤痕。左眼角到咀角有一道长长的刀疤，但一点也不丑，反而有一种说不出的魅力，令见过他的男女都不能忘记他。他的浪子性格令少女们芳心碎地，对他又恨又爱，他的淘气使仇敌们又气又好笑。,
绝代双骄,屠娇娇,0.00669891,外号“不男不女”，性别一直是个谜，精于易容术和一切骗术，千脸易容颠众生，基本上小鱼儿大部分的江湖小技巧甚至逗女孩的功夫都是她教的。在恶人谷中经常和李大嘴斗嘴斗法，却令小时候的小鱼儿在二人耳濡目染之下学会不少“真本事”。易容术之高甚至连扮装者的家人都不能拆穿，天下间唯有小鱼儿才能两句说话便看破。当年为培养“天下最恶的人”，说服十大恶人饶过小鱼儿。和哈哈儿是一对地下情人，最后被诈死的白开心一掌击毙，临死前咬破哈哈儿的喉咙迫他殉情。,
绝代双骄,张菁,0.0382103,昔日江湖第一美人玉娘子之女，长得美若天仙，妩媚无限，嫉恶如仇，手段毒辣，江湖上称其为小仙女。和慕容世家是表亲关系，特别和慕容九最亲。武功是江湖上少年英侠中的佼佼者，擅长使用鞭子，出招奇快。喜欢穿火红装束，骑着红马樱桃，外刚内柔。起初为了安慰母亲的心，决意寻找母亲心上人燕南天宝藏，于是追踪带着藏宝图的铁心兰到回疆。后遇上魔星小鱼儿，被他暗算戏弄、夺去初吻，企图追杀他报复。对小鱼儿有似有若无​​的情愫，却不了了之，最终和慕容家的表弟顾人玉结为连理。,
绝代双骄,怜星,0.0043958,移花宫的二宫主，大宫主邀月的妹妹，绝色容貌与高贵气质并不亚于邀月，亦是绝代风华的绝世美人，她娇靥甜美，更胜春花，灵活的眼波中非但充满了不可描述的智慧之光，也充满了稚气，她的语声灵巧、活泼，仿佛带着种天真的稚气，容易让人产生怜惜之心。但小时候与邀月抢摘桃子时有过摩擦被邀月从树上推下来导致身体残疾，纤弱而苗条的身形下左手与左足有无法掩饰的畸形，也因此她是一位性格极为复杂的人。她轻功仅次于邀月，玉齿可断钢碎铁，会移花宫秘传的天下第一掌法〈移花接玉〉，因练成内家正宗的绝顶心法〈明玉功〉第八层而容颜保持美丽娇甜。,
