topic,name,weight,note,image_name
老表，你好Hea！,	夏桑菊,,,
老表，你好Hea！,Marian,,尤田儿时的佣人，因其习惯而影响尤田的性格。,
老表，你好Hea！,Robort,,Professor，全科医生，副修妇科。,Robort.png
老表，你好Hea！,乌笄,,爽到无朋友保健中心药膳专家／超市员工。,乌笄.png
老表，你好Hea！,伊健,,签约歌手。,
老表，你好Hea！,刘桂芳,,临时演员。,
老表，你好Hea！,吴美,,,
老表，你好Hea！,周丽敏,,Vivienne，爽到无朋友保健中心按摩师／超市收银员／配音师。,
老表，你好Hea！,周公,,周丽敏之父。,
老表，你好Hea！,垃圾卿,,倒垃圾工人。,
老表，你好Hea！,夏枯草,,,
老表，你好Hea！,大少奶,,尤长之首任妻子（政治婚姻）。,
老表，你好Hea！,安仔,,《偷偷张望》主持。,安仔.png
老表，你好Hea！,容材,,联群杰党党员。,
老表，你好Hea！,尤田,,优富超级市场老板／亲生仔娱乐有限公司老板。尤长之养子，与其不和，一直觊觎其身家，于第28集因伪造遗嘱而被尤长揭发后一度反目及断绝其父子关系并赶出家门，最后和好。,尤田.png
老表，你好Hea！,尤长,,尤长国际集团主席／Daddy TV老板。身拥过千亿身家，据其本人回忆年轻时终日沉迷女色，因而觉得愧对芭芭拉，后决定建造一所疗养中心用作照顾芭芭拉的妹妹，作为补偿并答应以后会尊一钟爱芭芭拉。,尤长.png
老表，你好Hea！,希拉美,,原名李带喜，“联群杰党”创办人。,
老表，你好Hea！,曾健明,,临时演员。,
老表，你好Hea！,曾开森,,三舅公。,
老表，你好Hea！,曾慧云,,临时演员。,
老表，你好Hea！,李爱,,,
老表，你好Hea！,杨曼莉,,Mandy，聋哑侍应。,
老表，你好Hea！,林在野,,搬货员。,林在野.png
老表，你好Hea！,林碧娇,,马拉高之亡妻，马利亚之亡母。,
老表，你好Hea！,林雪,,签约歌手。,
老表，你好Hea！,梁炳,,炳哥，黑帮大佬。,
老表，你好Hea！,比利,,林雪之粉丝，患有人格分裂。,
老表，你好Hea！,毛狄,,尤田之保镖兼助手，马拉高之徒弟，养女。,
老表，你好Hea！,爆樽,,阿梦之男友，与马利亚不和，后和好。,
老表，你好Hea！,童柏长,,表叔公。,
老表，你好Hea！,芭芭拉,,尤长之第二任妻子，于第18集离婚。,芭芭拉.png
老表，你好Hea！,蓝废纸,,,
老表，你好Hea！,西门庆,,签约艺人。,
老表，你好Hea！,视帝,,,视帝.png
老表，你好Hea！,谭玉瑛,,儿童节目主持人。,谭玉瑛.png
老表，你好Hea！,费柴,,联群杰党党员。,
老表，你好Hea！,软饭王导师,,软饭王课程导师。,
老表，你好Hea！,邵卓尧,,临时演员。,
老表，你好Hea！,邵宝高,,尤田之秘书。,邵宝高.png
老表，你好Hea！,邵龙豹,,小笼包，超市肉档员工／了结堂教会牧师。,
老表，你好Hea！,郭宝,,齐秋水之议员顾问，后离职／配音师／优富超级市场职员。,
老表，你好Hea！,金矿,,投资者。,
老表，你好Hea！,金萍梅,,签约艺人。,
老表，你好Hea！,阿旺,,,
老表，你好Hea！,阿梦,,猪扒，爆樽之女友。,
老表，你好Hea！,阿财,,,
老表，你好Hea！,陆电池,,,
老表，你好Hea！,飞胶樽,,,
老表，你好Hea！,马利亚,,超市搬货员，后为亲生仔娱乐有限公司签约艺人，后被解约。,马利亚.png
老表，你好Hea！,马拉高,,癫马哥，了结堂教会牧师／前黑社会老大。,
老表，你好Hea！,高音,,醉高音、高Manager，殡仪馆乐师，后辞职／创办人／签约歌手／Daddy TV行政总监。,
老表，你好Hea！,黄铝罐,,,
老表，你好Hea！,黎彼得,,Peter仔，爽到无朋友保健中心中医师／超市保安。,黎彼得.png
老表，你好Hea！,鼎爷,,总经理、财务公司老板。,
老表，你好Hea！,齐宽夫,,二伯公。,
老表，你好Hea！,齐抽筋,,齐老太之长子。,
老表，你好Hea！,齐秋水,,曾为尤家佣人，尤长之旧情人，后复合并为其第三任妻子,
老表，你好Hea！,齐老太,,林在野婚事的女方主办人。,
老表，你好Hea！,齐静雯,,尤长、齐秋水之私生女，尤田无血缘关系之姊，并被其憎恨。,
