topic,name,weight,note,image_name
蓝色监狱,不乱茑宏俊,0.0236012,日本足球联盟特别顾问，贪钱，不认为日本可以拿世界冠军。,不乱茑宏俊.png
蓝色监狱,久远·涉,0.0442761,擅长弹跳和头球。临时当教练。,久远·涉.png
蓝色监狱,二指·一挥,0.0393654,Y队核心，专门后场助攻前锋。体力一般，擅长掌握场上情况和思考。,二指·一挥.png
蓝色监狱,五十岚·栗梦,0.0200446,外号栗子头，原本是寺庙和尚。特长是绝不放弃，如果输球要回去继承寺庙。,五十岚·栗梦.png
蓝色监狱,今村游大,0.0200446,,今村游大.png
蓝色监狱,伊右衙门送人,0.0200446,性格不会拒绝人，暂时当守门员。,伊右衙门送人.png
蓝色监狱,剑城·斩铁,0.0447142,飞毛腿，速度比千切还快。,剑城·斩铁.png
蓝色监狱,千切豹马,0.0569452,受伤一年多，害怕再受伤不能踢球，主动踢后卫。有天赋，速度快。,千切豹马.png
蓝色监狱,吉良·凉介,0.0200446,松风黑王高中，高二，前锋。,吉良·凉介.png
蓝色监狱,国神·链介,0.0200446,体格强壮，射门有力，擅长左脚中距离远射。,国神·链介.png
蓝色监狱,大川·响鬼,0.0227299,Y队前锋。,大川·响鬼.png
蓝色监狱,帝襟·杏里,0.0621196,,帝襟·杏里.png
蓝色监狱,御影·玲王,0.0462641,家里有钱，成绩优秀，追求得不到的东西。,御影·玲王.png
蓝色监狱,成早·朝日,0.0200446,擅长单刀球。,成早朝日.png
蓝色监狱,我牙犬·吟,0.0200446,擅长肉体爆发力，可以鱼跃头球。,我牙犬·吟.png
蓝色监狱,时光·青志,,不自信。,时光·青志.png
蓝色监狱,止·诚士郎,0.0317773,讨厌麻烦，有天分。停球倒钩都厉害。,止·诚士郎.png
蓝色监狱,洁·世一,0.247839,一难高中，高二，前锋。特长是能察觉进球的预感，进攻和防守都可以用，还有空间认知能力，能全局看球场形势。,洁·世一.png
蓝色监狱,系师·冴,,,系师·冴.png
蓝色监狱,系师·凛,,第一个参加第二阶段比赛。,系师·凛.png
蓝色监狱,绘心·甚八,0.0376458,期望带领日本队拿世界杯冠军。,绘心·甚八.png
蓝色监狱,蚁生·十兵卫,,,蚁生·十兵卫.png
蓝色监狱,蜂乐·迴,0.0200446,擅长盘带和过人。,蜂乐·迴.png
蓝色监狱,西冈·初,,外号青森的梅西，第二阶段与马狼一对。,西冈·初.png
蓝色监狱,诺埃尓·诺亚,0.0200446,法国国脚，前锋，欧洲最佳球员。,诺埃尓·诺亚.png
蓝色监狱,雷市阵吾,0.0331528,容易激动，暴躁小哥。,雷市阵吾.png
蓝色监狱,马狼·照英,0.0200446,X队大哥。单打独斗高手。,马狼·照英.png
蓝色监狱,鳄间·淳壹,0.0427611,哥哥，不说话。,鳄间·淳壹.png
蓝色监狱,鳄间·计助,0.0427611,弟弟，能读懂哥哥的表情并代替说出来。,鳄间·计助.png
