topic,source,target,relation,note
蓝色监狱,不乱茑宏俊,帝襟·杏里,领导,
蓝色监狱,久远·涉,洁·世一,背叛,出卖球队战术投靠另一队。
蓝色监狱,二指·一挥,大川·响鬼,负责传球,
蓝色监狱,五十岚·栗梦,洁·世一,欺负,刚进蓝色监狱拿球欺负洁。
蓝色监狱,剑城·斩铁,千切豹马,速度快,短距离速度更快，但长距离慢。
蓝色监狱,剑城·斩铁,御影·玲王,队友,
蓝色监狱,剑城·斩铁,止·诚士郎,队友,
蓝色监狱,千切豹马,鳄间·淳壹,前队友,
蓝色监狱,千切豹马,鳄间·计助,前队友,
蓝色监狱,吉良·凉介,洁·世一,朋友，击败,
蓝色监狱,国神·链介,洁·世一,请吃牛排,
蓝色监狱,帝襟·杏里,绘心·甚八,聘请，照料,负责足球外的一切。
蓝色监狱,御影·玲王,止·诚士郎,邀请踢球,看到止有天分，反应速度快。
蓝色监狱,洁·世一,久远·涉,队友,
蓝色监狱,洁·世一,二指·一挥,专门防守,
蓝色监狱,洁·世一,五十岚·栗梦,队友,
蓝色监狱,洁·世一,今村游大,队友,
蓝色监狱,洁·世一,伊右衙门送人,队友,
蓝色监狱,洁·世一,千切豹马,启发,让千切想到以前的自己，激发斗志。
蓝色监狱,洁·世一,吉良·凉介,淘汰,第一关踢球踢中吉良把他淘汰。
蓝色监狱,洁·世一,国神·链介,队友,
蓝色监狱,洁·世一,成早朝日,队友,
蓝色监狱,洁·世一,我牙犬·吟,队友,
蓝色监狱,洁·世一,蜂乐·迴,队友,
蓝色监狱,洁·世一,雷市阵吾,队友,
蓝色监狱,系师冴,帝襟·杏里,关注,关注到蓝色监狱计划，推迟出国。
蓝色监狱,绘心·甚八,洁·世一,邀请,创办蓝色监狱。
蓝色监狱,蜂乐·迴,洁·世一,合作,
蓝色监狱,诺埃尓·诺亚,洁·世一,偶像,
蓝色监狱,雷市阵吾,御影·玲王,单防,作为后卫可以单防玲王。
蓝色监狱,马狼·照英,洁·世一,碾压并指出问题,
蓝色监狱,鳄间·淳壹,久远·涉,收买,让进三球并背叛球队。
蓝色监狱,鳄间·淳壹,鳄间·计助,哥哥,
蓝色监狱,鳄间·计助,久远·涉,收买,
