topic,source,target,relation,note
蛋黄哥大冒险,井上,蛋黄哥,追逐,想要抓住蛋黄哥并加以包转成节目。
蛋黄哥大冒险,加奈,蛋黄哥,母亲,
蛋黄哥大冒险,厨师,蛋黄哥,沟通,想要把蛋黄哥做成料理，最后一刻后悔，尊重意见并放走。
蛋黄哥大冒险,威尔逊奶奶,蛋黄哥,吃掉,
蛋黄哥大冒险,威尔逊奶奶,鸡动哥,告诉妈妈信息,
蛋黄哥大冒险,威尔逊爷爷,威尔逊奶奶,丈夫,
蛋黄哥大冒险,岛田,井上,同事,
蛋黄哥大冒险,岛田,蛋黄哥,看到,
蛋黄哥大冒险,水煮蛋,蛋黄哥,协助,协助一起偷干燥剂。
蛋黄哥大冒险,水煮蛋,鸡动哥,协助,协助一起偷干燥剂。
蛋黄哥大冒险,皮蛋,鸡动哥,告诉信息,介绍干燥剂到信息和自己的制作过程。
蛋黄哥大冒险,笹川 基文,高子,领导,
蛋黄哥大冒险,蛋黄哥,前辈,志趣相投,
蛋黄哥大冒险,蛋黄哥,笹川 基文,启发,让其以自己的方式处理国家事务。
蛋黄哥大冒险,蛋黄哥,鸡动哥,好友,
蛋黄哥大冒险,西西里风味鸡蛋卷,水煮蛋,抓住,
蛋黄哥大冒险,西西里风味鸡蛋卷,蛋黄哥,抓住,
蛋黄哥大冒险,西西里风味鸡蛋卷,鸡动哥,抓住,
蛋黄哥大冒险,酸蛋哥,蛋黄哥,抢劫,想要抢劫酱油。
蛋黄哥大冒险,铃木,井上,同事,
蛋黄哥大冒险,铃木,蛋黄哥,看到,
蛋黄哥大冒险,阴险的卤蛋,巨型蛋黄哥,会所娱乐,
蛋黄哥大冒险,鸡动哥,阴险的卤蛋,偷干燥剂,想要偷干燥剂，并跟踪进入会所。
