topic,name,weight,note,image_name
西线无战事,保罗·博伊默尔,0.253983,参加德军的少年团。,保罗·博伊默尔.png
西线无战事,冯·海尔道夫,0.0606728,法国和德国谈判的协调员。,冯·海尔道夫.png
西线无战事,凯特因丝基,0.0712096,德国前线士兵，与保罗等建立了友谊，最后因为再次去养鹅农场偷食物被农场小孩开枪杀死。,凯特因丝基.png
西线无战事,卡尔·莱默,0.0402646,凯特的亲戚，仅在凯特妻子寄来的信中提及，目前在东线住院。,
西线无战事,将军,0.0926963,德国将军，对于德国投降不满，最后时刻仍然驱赶士兵上战场。,将军.png
西线无战事,布里克斯多夫,0.0362643,德国军官。,布里克斯多夫.png
西线无战事,弗朗茨·穆勒,0.0712096,德军少年团，比较懦弱，经典动作是梳头，参军过程认识女性艾洛伊斯，最终还是牺牲了，艾洛伊斯的围巾被保罗找到。,弗朗茨·穆勒.png
西线无战事,杰拉德·杜瓦尔,0.0369852,法军排字员，在无辜的最后大战中被保罗杀死。,杰拉德·杜瓦尔.png
西线无战事,海因里·希葛柏,0.0369852,德军早期牺牲的士兵，军衣被刷洗后最后给了保罗。,海因里·希葛柏.png
西线无战事,福煦,0.0606728,法军元帅，负责参与德军投降谈判，最终德军投降并确定和解时间。,福煦.png
西线无战事,艾洛伊斯,0.0402646,德国女性，路过德军驻扎地方，与弗朗茨·穆勒相识。,
西线无战事,贾登,0.0369852,德国前线士兵，与保罗等建立了友谊，最后因为腿废了自杀而死。,贾登.png
西线无战事,路德维希,0.0369852,德军少年团，带有眼睛，第一次上前线就牺牲了。,路德维希.png
西线无战事,阿尔伯特·克罗普,0.0369852,参加德军的少年团。,阿尔伯特·克罗普.png
西线无战事,马蒂亚斯·埃尔兹伯格,0.0878362,德军前线部队负责人，负责与法军谈判投降条件。,马蒂亚斯·埃尔兹伯格.png
