topic,name,weight,note,image_name
赛博朋克：边缘行者,Adam Smasher,0.0113603,史上最大战争——第四次企业战争的老兵，荒阪集团的最强武器，几乎全身都改造为机械。被荒阪反情报部叫去对付大卫。,Adam_Smasher.webp
赛博朋克：边缘行者,David Martinez,0.304723,原为就读荒阪学园的资优生，因出身贫穷而受到同学霸凌，自己也不想让母亲太操劳而有辍学的念头。在母亲意外身亡后发现其遗物中的军事级改造设备“沙德威斯坦（サンデヴィスタン，Sandevistan）”，起初想将之转卖，但在隔天上学途中再度遭到霸凌，一气之下请神机医将沙德威斯坦植入在自己身上，并回到学校报仇。其后被沙德威斯坦原买家曼恩找上，顺势加入其团队。 曼恩死后继承了团队领导与曼恩的巨腕枪炮部件。 对改造设备有很高的适性，连一般成人都无法承受的沙德威斯坦也能连续使用，但过度使用还是会产生晕眩、恶心等副作用。 在遇见露西后对其一见钟情。得知对方的梦想是上月球后，承诺会帮助她实现梦想，因改造过度患上神机错乱渐渐的失去理智只能依赖抑制剂维持，在拯救露西的行动中逼不得已安装上改造金刚而突破了重重包围，为了保护露西与荒阪派出的亚当重锤对战，最后因战力悬殊且缺少失重设备的情况下改造金刚被亚当重锤撕毁惨败遭爆头击杀，临死前遗憾没能与露西一同登上月球。,David.webp
赛博朋克：边缘行者,Dorio,0.0253684,曼恩的女友，在团队中有如副队般的存在。在一次任务中为了让神机错乱状态的曼恩回神而遭到暴恐机动队爆头，其尸体与曼恩一同在火葬(曼恩的幻觉)般的爆炸中消逝。,Dorio.webp
赛博朋克：边缘行者,Falco,0.0253684,曼恩团队成员之一，担任该组织的车手，在拯救露西的行动中被亚当重锤毁了右手，团队成员中的幸存者之一。,Falco.webp
赛博朋克：边缘行者,Faraday,0.0161885,为军武科技做事的合事佬，经常指示曼恩团队执行有关田中的工作。后期出卖大卫团队以求在荒坂集团中上位，在大卫与亚当的最后决战时被波及而摔死。,Faraday.webp
赛博朋克：边缘行者,Gloria Martinez,0.0161885,大卫的母亲，在夜之城从事清理尸体的工作。为了赚取生活费及大卫的学费而操劳工作。因卷入黑帮斗争而身受重伤，但不是医保合约客户而延后救治并不治身亡。 原要将沙德威斯坦卖给曼恩，疑似在收尸时也将改造设备转卖给法外佣兵。,Gloria.webp
赛博朋克：边缘行者,James Norris,0.0113603,沙德威斯坦的原主人，前NUSA军人。在神机错乱下杀死27人后被暴恐机动队所杀。,James_Norris.webp
赛博朋克：边缘行者,Jimmy Kurosaki,0.0383126,知名幻舞导演，昵称“JK”，有着能在案件发生24小时内就发布该事件的幻舞的速效手腕，并会为VIP客户作个人后制。 身体具有短范围电磁脉冲的的改造设备。大卫本人为其粉丝，几乎看过他的所有作品并帮神机医兜售他的非法幻舞。 被田中的手掌飞针部件刺中喉咙失血过多死去(官方未说明是否真的为死亡)。,Jimmy_Kurosaki.webp
赛博朋克：边缘行者,Katsuo Tanaka,0.0383126,在学校霸凌David。,Katsuo.webp
赛博朋克：边缘行者,Kiwi,0.0253684,曼恩团队成员之一，一年前介绍露西进入团队的窜网使，告诉过露西不要信任任何人。 在深层骇入田中的过程中被逐渐神机错乱的曼恩殴打重伤送医。 因丰饶的报酬暗中与法拉第合作而背叛大卫一伙人，死前告诉大卫一伙人法拉第的位置后被法拉第的手下除掉。,Kiwi.webp
赛博朋克：边缘行者,Lucy,0.122487,一名年轻的窜网使，主要武器为镰线。在列车上想偷取大卫神经插槽内的技晶被对方逮住，急需金钱的大卫反过来提议合作窃取芯片后分成。在大卫加入团队后与之成为恋人关系，看穿大卫会为了他人而奋不顾身的个性，不希望大卫因此而死。在曼恩死后退出团队跟大卫同居。 因年幼时曾是荒阪集团训练收集旧网资料的窜网使，后来脱逃。具有相当的价值。 因黑客能力十分优秀，在骇入田中时掌握了荒阪的重要资料，却发现大卫的资料也在其中，将大卫部分的资料刻意销毁，为了不让资料被修复让大卫被盯上而独自处理掉来调查的窜网使。 但也被荒阪集团发现异样在一次处理中被中间人法拉第与琦薇捕捉成为谈判的人质，被大卫一伙人救出。 事件落幕后带着大卫的思念之情独自登上月球，未能完成与大卫一同登月的梦想，团队中成员中的幸存者之一。,Lucy.webp
赛博朋克：边缘行者,Maine,0.115359,团队领导，标志改造为其巨腕中的大型枪炮。原本跟大卫母亲购买沙德威斯坦。 用人唯才，具有领导天分，因改造过度而逐渐罹患神机错乱，在一次任务中与暴恐机动队交火时发作导致朵莉欧遭射杀，而引爆大量高压瓦斯桶与暴恐机动队同归于尽。曾承诺死后会把巨腕枪炮部件送给大卫。,Maine.webp
赛博朋克：边缘行者,Pilar,0.0253684,曼恩团队成员之一，满嘴粗话的械斗匠。蕾贝卡的哥哥，因没事跟在路边尿尿的路人说话，被神机错乱的路人爆头杀死。,Pilar.webp
赛博朋克：边缘行者,Rebecca,0.0517595,曼恩团队成员之一，擅长各种枪械的犯险者。霹拉的妹妹，后期对大卫抱有好感。 在拯救露西的行动中遭从天而降的亚当重锤砸死。,Rebecca.webp
赛博朋克：边缘行者,Ripperdoc,0.0976972,大卫熟识的无证医生，让大卫帮其兜售非法幻舞，并帮助大卫安装与升级沙德威斯坦等改造设备。,Doc.webp
赛博朋克：边缘行者,Tanaka,0.0634179,荒坂集团的高层，在学校霸凌大卫的胜男父亲。意外得知大卫安装了沙德威斯坦，想利用大卫测试集团的新产品，甚至动用关系保留大卫的学籍。 是曼恩团队的目标，大卫的第一份工作即为偷走其车上的导航资料。 与吉米单独见面时被曼恩团队绑架，被麻醉后骇入。 最后被露西在骇入发现荒阪的资料有大卫时遭其烧毁大脑后死亡。,Tanaka.webp
