topic,group_name,character_name
赛博朋克：边缘行者,军武科技,
赛博朋克：边缘行者,军武科技,Faraday
赛博朋克：边缘行者,月球旅团,
赛博朋克：边缘行者,月球旅团,Lucy
赛博朋克：边缘行者,荒坂学院,
赛博朋克：边缘行者,荒坂学院,David Martinez
赛博朋克：边缘行者,荒坂学院,Katsuo Tanaka
赛博朋克：边缘行者,荒坂集团,
赛博朋克：边缘行者,荒坂集团,Adam Smasher
赛博朋克：边缘行者,荒坂集团,Tanaka
赛博朋克：边缘行者,赛博朋克,
赛博朋克：边缘行者,赛博朋克,David Martinez
赛博朋克：边缘行者,赛博朋克,Dorio
赛博朋克：边缘行者,赛博朋克,Falco
赛博朋克：边缘行者,赛博朋克,Kiwi
赛博朋克：边缘行者,赛博朋克,Lucy
赛博朋克：边缘行者,赛博朋克,Maine
赛博朋克：边缘行者,赛博朋克,Pilar
赛博朋克：边缘行者,赛博朋克,Rebecca
赛博朋克：边缘行者,赛博精神病,
赛博朋克：边缘行者,赛博精神病,James Norris
赛博朋克：边缘行者,赛博精神病,Maine
赛博朋克：边缘行者,赛博精神病,Pilar
