topic,source,target,relation,note
赛博朋克：边缘行者,Adam Smasher,David Martinez,杀死,
赛博朋克：边缘行者,Adam Smasher,Rebecca,杀死,
赛博朋克：边缘行者,David Martinez,Lucy,CP,情侣，后期同居。
赛博朋克：边缘行者,David Martinez,Maine,接替领导,去世后由David接替作为团队领导。
赛博朋克：边缘行者,David Martinez,Ripperdoc,帮忙售卖幻舞,
赛博朋克：边缘行者,Faraday,David Martinez,雇佣,
赛博朋克：边缘行者,Faraday,Maine,雇佣,
赛博朋克：边缘行者,Gloria Martinez,David Martinez,母亲,
赛博朋克：边缘行者,James Norris,David Martinez,设备转移,沙德威斯坦最后转移到David中。
赛博朋克：边缘行者,Jimmy Kurosaki,David Martinez,偶像,David喜欢看其幻舞作品。
赛博朋克：边缘行者,Katsuo Tanaka,David Martinez,霸凌,
赛博朋克：边缘行者,Kiwi,Lucy,介绍入队,一年前邀请Lucy加入。
赛博朋克：边缘行者,Kiwi,Maine,背叛,最终战背叛David团队。
赛博朋克：边缘行者,Lucy,David Martinez,邀请,邀请去月球，邀请加入团队。
赛博朋克：边缘行者,Lucy,Tanaka,骇入,
赛博朋克：边缘行者,Maine,David Martinez,雇佣,
赛博朋克：边缘行者,Maine,Dorio,女友,为救Maine而被杀。
赛博朋克：边缘行者,Maine,Falco,邀请入队,
赛博朋克：边缘行者,Maine,Kiwi,邀请入队,
赛博朋克：边缘行者,Maine,Lucy,雇佣,
赛博朋克：边缘行者,Maine,Pilar,邀请入队,
赛博朋克：边缘行者,Maine,Rebecca,邀请入队,
赛博朋克：边缘行者,Pilar,Rebecca,妹妹,
赛博朋克：边缘行者,Rebecca,David Martinez,拯救,最终战为救David而死。
赛博朋克：边缘行者,Ripperdoc,David Martinez,安装装备,安装沙德威斯坦等装备。
赛博朋克：边缘行者,Tanaka,Jimmy Kurosaki,杀死,
赛博朋克：边缘行者,Tanaka,Katsuo Tanaka,父亲,
