topic,group_name,character_name
飘洋1899,上层乘客,
飘洋1899,上层乘客,克蕾曼丝
飘洋1899,上层乘客,凌伊妈妈
飘洋1899,上层乘客,凌依
飘洋1899,上层乘客,吕西恩
飘洋1899,上层乘客,威尔逊
飘洋1899,上层乘客,安格尔
飘洋1899,上层乘客,拉米罗
飘洋1899,上层乘客,莫拉富兰克林
飘洋1899,上层乘客,雷金纳德穆雷
飘洋1899,下层乘客,
飘洋1899,下层乘客,伊本
飘洋1899,下层乘客,克雷斯特
飘洋1899,下层乘客,安高
飘洋1899,下层乘客,托芙
飘洋1899,下层乘客,艾达
飘洋1899,同性关系,
飘洋1899,同性关系,克雷斯特
飘洋1899,同性关系,安格尔
飘洋1899,同性关系,拉米罗
飘洋1899,煤炭工,
飘洋1899,煤炭工,兰登
飘洋1899,煤炭工,哲罗姆
飘洋1899,煤炭工,奥莱克
飘洋1899,船员,
飘洋1899,船员,大副
飘洋1899,船员,尤金
飘洋1899,船员,弗朗茨
飘洋1899,船员,艾克
飘洋1899,辛来顿家族,
飘洋1899,辛来顿家族,丹尼尔索拉斯
飘洋1899,辛来顿家族,亨利辛来顿
飘洋1899,辛来顿家族,塞伦
飘洋1899,辛来顿家族,艾略特
飘洋1899,辛来顿家族,莫拉富兰克林
